ref id,Predicted,Actual
34079,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34081,['Shopping', 'Home', 'Society', 'Sports'],['Shopping']
3,['Recreation', 'Reference', 'Health', 'Computers'],['Arts']
5,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34087,['Society', 'Shopping', 'Arts', 'Kids'],['Shopping']
34089,['Business', 'Computers', 'Shopping', 'Society'],['Shopping']
20,['Games', 'Computers', 'Science', 'Kids'],['Adult']
27,['Adult', 'Kids', 'Recreation', 'News'],['Adult']
35,['Adult', 'Arts', 'Sports', 'Society'],['Adult']
36,['Games', 'Adult', 'Recreation', 'Kids'],['Adult']
37,['Adult', 'Recreation', 'Games', 'Arts'],['Adult']
39,['Adult', 'Arts', 'Kids', 'News'],['Adult']
34118,['Shopping', 'Society', 'Home', 'Recreation'],['Shopping']
43,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
49,['Adult', 'Recreation', 'Games', 'News'],['Adult']
34133,['Shopping', 'Society', 'Home', 'Sports'],['Shopping']
59,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
64,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
66,['Adult', 'Games', 'Recreation', 'Kids'],['Adult']
80,['Business', 'Computers', 'Home', 'News'],['Business']
85,['Arts', 'News', 'Recreation', 'Kids'],['Adult']
34169,['Shopping', 'Society', 'Home', 'Arts'],['Shopping']
34171,['Society', 'Business', 'Home', 'Recreation'],['Shopping']
34173,['Computers', 'Business', 'Reference', 'Recreation'],['Shopping']
93,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34178,['Shopping', 'Society', 'Arts', 'Home'],['Shopping']
98,['Adult', 'Kids', 'Recreation', 'Games'],['Adult']
34187,['Society', 'Sports', 'Shopping', 'Science'],['Society']
107,['News', 'Games', 'Adult', 'Arts'],['Adult']
34191,['Computers', 'Business', 'Science', 'Society'],['Society']
112,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
34194,['Society', 'Computers', 'Recreation', 'Kids'],['Society']
34200,['Society', 'Business', 'News', 'Science'],['Society']
34204,['Computers', 'Business', 'Reference', 'Recreation'],['Society']
138,['News', 'Business', 'Arts', 'Society'],['News', 'Home', 'Arts']
144,['Arts', 'Kids', 'News', 'Recreation'],['Arts']
150,['Arts', 'News', 'Recreation', 'Games'],['Arts']
165,['Computers', 'Business', 'Arts', 'Games'],['Shopping', 'Arts']
34256,['Society', 'Arts', 'News', 'Recreation'],['Society']
34257,['Society', 'Health', 'Reference', 'Kids'],['Society']
176,['Arts', 'Kids', 'Recreation', 'Computers'],['Arts']
34260,['Society', 'Science', 'Home', 'Arts'],['Society']
184,['Games', 'Kids', 'Arts', 'News'],['Arts']
194,['Arts', 'Computers', 'Reference', 'Kids'],['Computers', 'Arts']
200,['Arts', 'Kids', 'News', 'Society'],['Arts']
34283,['Society', 'Health', 'Home', 'Science'],['Society']
204,['Recreation', 'Computers', 'Home', 'Kids'],['Arts']
206,['Kids', 'Arts', 'Recreation', 'Reference'],['Arts']
34292,['Health', 'Kids', 'Society', 'Computers'],['Society']
34300,['Society', 'Computers', 'Reference', 'Kids'],['Society']
221,['News', 'Arts', 'Sports', 'Society'],['Arts']
34303,['Adult', 'Sports', 'Society', 'Recreation'],['Society']
228,['Arts', 'Recreation', 'News', 'Games'],['Arts']
230,['Arts', 'News', 'Society', 'Home'],['Arts']
34313,['Society', 'Sports', 'Kids', 'News'],['Society']
34317,['Reference', 'Society', 'Science', 'Kids'],['Society']
239,['Games', 'Arts', 'Society', 'News'],['Society', 'Arts']
34322,['Society', 'Health', 'Home', 'News'],['Society']
34323,['Society', 'Health', 'Kids', 'Sports'],['Society']
242,['Arts', 'News', 'Recreation', 'Kids'],['Arts']
249,['Kids', 'Arts', 'Computers', 'News'],['News', 'Business']
34334,['Society', 'Reference', 'Science', 'Recreation'],['Society']
34335,['Society', 'News', 'Arts', 'Sports'],['Society']
257,['Computers', 'Business', 'Home', 'Reference'],['Business']
272,['Computers', 'Business', 'Science', 'Home'],['Business', 'Computers']
274,['Home', 'Business', 'Arts', 'Recreation'],['Business']
277,['Recreation', 'Reference', 'Health', 'Computers'],['Games', 'Shopping']
34361,['Society', 'Home', 'Kids', 'Health'],['Society']
34367,['Computers', 'Society', 'Home', 'Recreation'],['Society']
34375,['Games', 'Recreation', 'Society', 'Kids'],['Society']
34383,['Society', 'Health', 'Adult', 'Kids'],['Society']
303,['Computers', 'Science', 'News', 'Home'],['Business', 'Computers']
312,['Business', 'Computers', 'News', 'Home'],['Business']
34395,['Society', 'Health', 'Reference', 'Science'],['Society']
34397,['Society', 'Health', 'Recreation', 'Kids'],['Society']
34399,['Society', 'Health', 'Reference', 'Science'],['Society']
318,['Business', 'News', 'Home', 'Computers'],['Business']
34400,['Society', 'Health', 'Kids', 'News'],['Society']
322,['Games', 'Computers', 'Business', 'Home'],['Business']
34406,['Society', 'Health', 'Business', 'Science'],['Society']
34408,['Business', 'Science', 'Society', 'Sports'],['Society']
331,['Home', 'Business', 'News', 'Health'],['Business']
34417,['Society', 'Health', 'Kids', 'Science'],['Society']
336,['Business', 'Computers', 'Science', 'Reference'],['Business', 'Computers']
34424,['Society', 'Business', 'Health', 'Kids'],['Society']
34429,['Society', 'Computers', 'Recreation', 'Science'],['Society']
348,['Business', 'Shopping', 'Computers', 'Home'],['Business', 'Shopping']
350,['News', 'Business', 'Sports', 'Arts'],['Business']
34433,['Society', 'Health', 'News', 'Kids'],['Society']
356,['News', 'Recreation', 'Kids', 'Business'],['Computers']
364,['News', 'Arts', 'Recreation', 'Games'],['Computers']
34447,['Society', 'Sports', 'Shopping', 'Science'],['Society']
367,['Computers', 'Sports', 'Society', 'Shopping'],['Computers']
34449,['Society', 'Games', 'Computers', 'Adult'],['Society']
34450,['Society', 'Arts', 'Kids', 'Games'],['Society']
375,['Computers', 'Business', 'Reference', 'Science'],['Computers']
34457,['Society', 'News', 'Arts', 'Games'],['Society']
384,['Adult', 'News', 'Recreation', 'Games'],['Computers']
34466,['Society', 'Arts', 'News', 'Reference'],['Society']
34471,['Society', 'Arts', 'Reference', 'News'],['Society']
34475,['Society', 'News', 'Home', 'Reference'],['Society']
394,['Computers', 'Home', 'News', 'Society'],['Computers']
34476,['Society', 'Arts', 'News', 'Kids'],['Society']
396,['Computers', 'Business', 'Reference', 'Science'],['Computers']
34488,['Society', 'Science', 'News', 'Business'],['Society']
414,['News', 'Computers', 'Home', 'Games'],['Computers']
34514,['Society', 'News', 'Sports', 'Reference'],['Society']
34518,['Society', 'Games', 'Sports', 'Shopping'],['Society']
34520,['Society', 'News', 'Sports', 'Health'],['Society']
34526,['Society', 'Home', 'Reference', 'Kids'],['Society']
34532,['Society', 'Health', 'Sports', 'Business'],['Society']
34536,['Society', 'News', 'Sports', 'Arts'],['Society']
34537,['Arts', 'Society', 'Reference', 'Kids'],['Society']
34538,['Society', 'Health', 'News', 'Home'],['Society']
34548,['Society', 'Health', 'Arts', 'Kids'],['Society']
34555,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
34558,['Society', 'Health', 'Kids', 'Reference'],['Society']
34562,['Society', 'Health', 'Reference', 'Kids'],['Society']
480,['Games', 'Recreation', 'Kids', 'Computers'],['Games', 'Arts']
34573,['Kids', 'Arts', 'Society', 'Recreation'],['Society']
34574,['Society', 'Reference', 'Home', 'Kids'],['Society']
34582,['Society', 'Health', 'Reference', 'Kids'],['Society']
500,['Games', 'Computers', 'Recreation', 'Reference'],['Games']
34585,['Society', 'Health', 'Science', 'Reference'],['Society']
34591,['Society', 'Health', 'Kids', 'Reference'],['Society']
509,['Games', 'Kids', 'Arts', 'Recreation'],['Games']
512,['Games', 'Kids', 'Arts', 'Computers'],['Games']
520,['Recreation', 'Games', 'Computers', 'Business'],['Games']
526,['Games', 'Kids', 'Sports', 'Society'],['Games']
34610,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
34618,['Society', 'Shopping', 'Health', 'Sports'],['Society']
34625,['Society', 'Health', 'Kids', 'Reference'],['Society']
543,['Health', 'Science', 'Kids', 'Reference'],['Science', 'Health']
545,['Health', 'Science', 'Sports', 'Society'],['Health']
546,['Health', 'Science', 'Kids', 'Society'],['Health']
34629,['Society', 'Shopping', 'Arts', 'Health'],['Society']
34631,['Society', 'Reference', 'Health', 'News'],['Society']
