ref id,Predicted,Actual
0,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34085,['Shopping', 'Adult', 'Business', 'Society'],['Shopping']
16,['Adult', 'Arts', 'Recreation', 'News'],['Adult']
34096,['Shopping', 'Society', 'Arts', 'Home'],['Shopping']
22,['Recreation', 'Business', 'Society', 'News'],['Adult']
27,['Adult', 'Recreation', 'Health', 'Games'],['Adult']
34109,['Shopping', 'Home', 'Arts', 'Society'],['Shopping']
34112,['Society', 'Shopping', 'Arts', 'Home'],['Shopping']
37,['Adult', 'Recreation', 'Games', 'Arts'],['Adult']
40,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
64,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
71,['Adult', 'Arts', 'Games', 'Recreation'],['Adult']
72,['Adult', 'Recreation', 'Arts', 'News'],['Adult']
74,['Adult', 'Games', 'Recreation', 'Arts'],['Adult']
34158,['Shopping', 'Society', 'Home', 'Sports'],['Shopping']
34159,['Society', 'Home', 'Sports', 'Arts'],['Shopping']
34166,['Shopping', 'Society', 'Sports', 'Games'],['Shopping']
34171,['Society', 'Business', 'Home', 'Recreation'],['Shopping']
95,['Computers', 'Business', 'Reference', 'Science'],['Adult']
34182,['Shopping', 'Society', 'Home', 'Recreation'],['Shopping']
105,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
108,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
109,['Adult', 'Games', 'Recreation', 'Arts'],['Adult']
34189,['Society', 'News', 'Computers', 'Health'],['Society']
114,['Adult', 'Recreation', 'Games', 'Home'],['Adult']
115,['Adult', 'Recreation', 'Games', 'Reference'],['Adult']
117,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
122,['Adult', 'Computers', 'Society', 'Arts'],['Adult']
150,['Arts', 'News', 'Recreation', 'Games'],['Arts']
34232,['Society', 'Reference', 'Health', 'Science'],['Society']
34243,['Society', 'Arts', 'Sports', 'News'],['Society']
172,['Computers', 'Arts', 'Home', 'Recreation'],['Arts']
173,['Arts', 'News', 'Games', 'Recreation'],['Arts']
177,['Reference', 'Computers', 'Science', 'Arts'],['Arts']
34260,['Society', 'Science', 'Home', 'Arts'],['Society']
