ref id,Predicted,Actual
57141,['Adult', 'Society', 'Arts', 'Reference'],['Adult']
25383,['Society', 'Reference', 'Sports', 'Health'],['Society']
30203,['Games', 'Recreation', 'Computers', 'Reference'],['Adult']
11586,['Games', 'Computers', 'Arts', 'Science'],['Games']
21639,['Arts', 'Games', 'Sports', 'Shopping'],['Games']
5455,['Health', 'Science', 'Business', 'Reference'],['Health']
43976,['Science', 'Computers', 'Business', 'Reference'],['Science']
8058,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
23213,['Health', 'Reference', 'Business', 'Science'],['Business']
54739,['Adult', 'Recreation', 'Arts', 'Games'],['Adult']
54130,['Society', 'Business', 'Sports', 'Games'],['Society']
10028,['Adult', 'Computers', 'Health', 'Recreation'],['Adult']
31800,['Health', 'Science', 'Business', 'Society'],['Health']
31778,['Health', 'Science', 'Business', 'Society'],['Health']
9497,['Reference', 'Society', 'Science', 'Arts'],['Games']
7059,['Society', 'Health', 'Recreation', 'Sports'],['Society']
15265,['Adult', 'Society', 'Sports', 'Arts'],['Adult']
44431,['Science', 'Reference', 'Computers', 'Games'],['Science']
43287,['Society', 'Arts', 'Science', 'Games'],['Society']
57753,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1286,['Adult', 'Society', 'Health', 'Business'],['Adult']
28649,['Science', 'Reference', 'Health', 'Computers'],['Science']
51260,['Adult', 'Arts', 'Recreation', 'Games'],['Adult']
175,['Adult', 'Recreation', 'Games', 'Reference'],['Adult']
47827,['Adult', 'Reference', 'Recreation', 'Sports'],['Health']
29408,['Games', 'Society', 'Arts', 'Sports'],['Games']
42419,['Adult', 'Society', 'Business', 'Computers'],['Adult']
35533,['Games', 'Business', 'Shopping', 'Recreation'],['Games']
12002,['Computers', 'Reference', 'Recreation', 'Science'],['Science']
28534,['Business', 'Science', 'Computers', 'Reference'],['Business']
5891,['Recreation', 'Health', 'Business', 'Science'],['Adult']
38744,['Games', 'Society', 'Recreation', 'Sports'],['Games']
44385,['Science', 'Reference', 'Health', 'Computers'],['Science']
30962,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
35498,['Games', 'Recreation', 'Computers', 'Shopping'],['Games']
51344,['Adult', 'Computers', 'Business', 'Games'],['Adult']
23156,['Adult', 'Reference', 'Recreation', 'Games'],['Adult']
36434,['Shopping', 'Games', 'Business', 'Computers'],['Games']
36980,['Adult', 'Arts', 'Recreation', 'Society'],['Adult']
14724,['Health', 'Science', 'Business', 'Reference'],['Health']
38884,['Computers', 'Arts', 'Games', 'Society'],['Adult']
52146,['Games', 'Society', 'Computers', 'Recreation'],['Games']
22729,['Business', 'Science', 'Computers', 'Recreation'],['Business']
23762,['Adult', 'Arts', 'Recreation', 'Society'],['Adult']
32376,['Society', 'Science', 'Computers', 'Health'],['Society']
55416,['Games', 'Shopping', 'Society', 'Sports'],['Games']
54743,['Society', 'Reference', 'Business', 'Sports'],['Society']
36218,['Science', 'Reference', 'Health', 'Computers'],['Science']
42758,['Adult', 'Recreation', 'Games', 'Arts'],['Adult']
57957,['Games', 'Shopping', 'Recreation', 'Business'],['Games']
46771,['Computers', 'Business', 'Science', 'Reference'],['Adult']
13202,['Science', 'Computers', 'Reference', 'Business'],['Science']
23286,['Adult', 'Recreation', 'Reference', 'Games'],['Adult']
9337,['Arts', 'Recreation', 'Games', 'Society'],['Adult']
43319,['Society', 'Arts', 'Reference', 'Games'],['Society']
1977,['Business', 'Recreation', 'Reference', 'Science'],['Business']
44629,['Business', 'Science', 'Computers', 'Health'],['Science']
51640,['Adult', 'Arts', 'Business', 'Games'],['Adult']
25477,['Computers', 'Science', 'Reference', 'Games'],['Business']
16333,['Adult', 'Arts', 'Society', 'Games'],['Adult']
5177,['Health', 'Science', 'Reference', 'Recreation'],['Health']
2522,['Society', 'Reference', 'Arts', 'Computers'],['Society']
49286,['Society', 'Science', 'Recreation', 'Arts'],['Society']
50996,['Society', 'Sports', 'Computers', 'Arts'],['Society']
38235,['Games', 'Computers', 'Society', 'Arts'],['Games']
29211,['Health', 'Reference', 'Science', 'Business'],['Health']
49894,['Games', 'Recreation', 'Reference', 'Computers'],['Games']
10094,['Sports', 'Society', 'Arts', 'Recreation'],['Society']
50184,['Society', 'Sports', 'Business', 'Arts'],['Society']
10763,['Games', 'Computers', 'Adult', 'Shopping'],['Adult']
29512,['Games', 'Recreation', 'Arts', 'Computers'],['Games']
21664,['Science', 'Reference', 'Health', 'Society'],['Science']
27808,['Society', 'Games', 'Arts', 'Reference'],['Society']
46526,['Adult', 'Society', 'Computers', 'Recreation'],['Adult']
10407,['Health', 'Reference', 'Business', 'Science'],['Health']
57164,['Arts', 'Recreation', 'Games', 'Society'],['Arts']
43734,['Society', 'Games', 'Arts', 'Computers'],['Games']
15569,['Games', 'Computers', 'Society', 'Arts'],['Games']
9936,['Arts', 'Recreation', 'Society', 'Games'],['Arts']
33559,['Computers', 'Health', 'Recreation', 'Business'],['Business']
21841,['Science', 'Business', 'Computers', 'Reference'],['Science']
1053,['Games', 'Society', 'Computers', 'Recreation'],['Games']
40071,['Society', 'Games', 'Arts', 'Recreation'],['Society']
2019,['Science', 'Business', 'Reference', 'Health'],['Science']
40968,['Adult', 'Society', 'Recreation', 'Arts'],['Adult']
36492,['Arts', 'Adult', 'Games', 'Society'],['Arts']
15089,['Arts', 'Sports', 'Recreation', 'Society'],['Arts']
27223,['Games', 'Society', 'Arts', 'Recreation'],['Games']
47414,['Adult', 'Society', 'Sports', 'Recreation'],['Adult']
8054,['Health', 'Science', 'Society', 'Business'],['Society', 'Health']
22530,['Health', 'Science', 'Business', 'Recreation'],['Health']
