ref id,Predicted,Actual
15075,['Shopping'],['Society']
53366,['Shopping'],['Shopping']
46372,['Adult'],['Adult']
50592,['Adult'],['Adult']
42251,['Science'],['Games']
1037,['Arts'],['Adult']
42357,['Computers'],['Business']
12231,['Health'],['Arts']
4736,['Shopping'],['Society']
52762,['Science'],['Science']
10159,['Health'],['Health']
57366,['Sports'],['Games']
34241,['Science'],['Science']
6905,['Health'],['Business']
10752,['Business'],['Business']
8198,['Computers'],['Adult']
51580,['Games'],['Adult']
36267,['Science'],['Society']
36566,['Business'],['Business']
6164,['Science'],['Health']
39638,['Health'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Society'],['Adult']
4214,['Society'],['Business', 'Shopping']
38648,['Computers'],['Science']
42955,['Adult'],['Adult']
7070,['Health'],['Health']
11857,['Business'],['Business']
33640,['Shopping'],['Adult']
29015,['Adult'],['Adult']
25110,['Sports'],['Business', 'Shopping']
8004,['Science'],['Science']
37555,['Business'],['Society']
35861,['Business'],['Games']
21921,['Arts'],['Adult']
27916,['Sports'],['Games']
58425,['Games'],['Games']
11141,['Business'],['Health']
52698,['Health'],['Science']
58478,['Recreation'],['Society']
37475,['Adult'],['Adult']
12424,['Science'],['Society']
2613,['Games'],['Games']
39481,['Adult'],['Adult']
44194,['Health'],['Health']
35937,['Health'],['Society']
34661,['Shopping'],['Adult']
32892,['Health'],['Society']
53008,['Shopping'],['Health']
23842,['Shopping'],['Business']
5535,['Sports'],['Adult']
50501,['Shopping'],['Games']
22385,['Science'],['Science']
44454,['Society'],['Society']
52667,['Health'],['Society']
3099,['Shopping'],['Business']
39160,['Health'],['Health']
39404,['Health'],['Science']
47714,['Adult'],['Adult']
29787,['Business'],['Business']
27391,['Society'],['Society']
7697,['Business'],['Games']
42953,['Health'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Health'],['Health']
48136,['Games'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Society'],['Games']
37655,['Arts'],['Arts']
31779,['Science'],['Health']
20333,['Computers'],['Adult']
41215,['Business'],['Adult']
54187,['Science'],['Science']
2407,['Business'],['Business']
2516,['Games'],['Games']
15008,['Arts'],['Arts']
12322,['Arts'],['Arts']
39489,['Reference'],['Society']
27177,['Business'],['Health']
58839,['Science'],['Science']
42044,['Business'],['Science']
36500,['Shopping'],['Society']
2544,['Adult'],['Adult']
7815,['Shopping'],['Science']
1912,['Computers'],['Society']
42291,['Games'],['Games']
1254,['Sports'],['Society']
17842,['Adult'],['Adult']
29125,['Sports'],['Adult']
2165,['Science'],['Business']
17450,['Health'],['Health']
14560,['Sports'],['Society']
12858,['Shopping'],['Society']
678,['Computers'],['Games']
33644,['Health'],['Health']
11647,['Shopping'],['Society']
29413,['Recreation'],['Adult']
8362,['Society'],['Science']
28857,['Business'],['Society']
46764,['Health'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Business'],['Games']
58802,['Science'],['Science']
2371,['Computers'],['Business']
24992,['Arts'],['Society']
37823,['Business'],['Health']
50923,['Sports'],['Games']
52598,['Business'],['Business']
5245,['Business'],['Adult']
35266,['Business'],['Arts']
17394,['Arts'],['Business']
29253,['Recreation'],['Science']
40164,['Science'],['Arts']
10980,['Shopping'],['Business']
2132,['Computers'],['Business']
49169,['Arts'],['Society']
35323,['Arts'],['Arts']
33949,['Science'],['Business']
43864,['Arts'],['Arts']
40582,['Games'],['Games']
53478,['Recreation'],['Games']
23473,['Business'],['Health']
2114,['Business'],['Science']
48846,['Adult'],['Adult']
31189,['Games'],['Games']
50849,['Health'],['Health']
29000,['Health'],['Health']
24607,['Shopping'],['Business']
51193,['Business'],['Society']
