ref id,Predicted,Actual
15075,['Arts'],['Society']
53366,['Sports'],['Shopping']
46372,['Business'],['Adult']
50592,['Adult'],['Adult']
42251,['Games'],['Games']
1037,['Computers'],['Adult']
42357,['Business'],['Business']
12231,['Society'],['Arts']
4736,['Society'],['Society']
52762,['Science'],['Science']
10159,['Health'],['Health']
57366,['Sports'],['Games']
34241,['Science'],['Science']
6905,['Business'],['Business']
10752,['Business'],['Business']
8198,['Adult'],['Adult']
51580,['Adult'],['Adult']
36267,['Science'],['Society']
36566,['Shopping'],['Business']
6164,['Science'],['Health']
39638,['Shopping'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Recreation'],['Adult']
4214,['Society'],['Business', 'Shopping']
38648,['Science'],['Science']
42955,['Computers'],['Adult']
7070,['Health'],['Health']
11857,['Business'],['Business']
33640,['Shopping'],['Adult']
29015,['Adult'],['Adult']
25110,['Shopping'],['Business', 'Shopping']
8004,['Business'],['Science']
37555,['Business'],['Society']
35861,['Business'],['Games']
21921,['Computers'],['Adult']
27916,['Sports'],['Games']
58425,['Games'],['Games']
11141,['Business'],['Health']
52698,['Computers'],['Science']
58478,['Reference'],['Society']
37475,['Adult'],['Adult']
12424,['Arts'],['Society']
2613,['Games'],['Games']
39481,['Adult'],['Adult']
44194,['Health'],['Health']
35937,['Arts'],['Society']
34661,['Shopping'],['Adult']
32892,['Society'],['Society']
53008,['Computers'],['Health']
23842,['Business'],['Business']
5535,['Sports'],['Adult']
50501,['Arts'],['Games']
22385,['Science'],['Science']
44454,['Society'],['Society']
52667,['Business'],['Society']
3099,['Shopping'],['Business']
39160,['Health'],['Health']
39404,['Business'],['Science']
47714,['Adult'],['Adult']
29787,['Games'],['Business']
27391,['Arts'],['Society']
7697,['Sports'],['Games']
42953,['Business'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Science'],['Health']
48136,['Games'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Games'],['Games']
37655,['Arts'],['Arts']
31779,['Science'],['Health']
20333,['Recreation'],['Adult']
41215,['Adult'],['Adult']
54187,['Science'],['Science']
2407,['Business'],['Business']
2516,['Health'],['Games']
15008,['Arts'],['Arts']
12322,['Arts'],['Arts']
39489,['Arts'],['Society']
27177,['Business'],['Health']
58839,['Science'],['Science']
42044,['Business'],['Science']
36500,['Computers'],['Society']
2544,['Society'],['Adult']
7815,['Shopping'],['Science']
1912,['Computers'],['Society']
42291,['Health'],['Games']
1254,['Sports'],['Society']
17842,['Adult'],['Adult']
29125,['Sports'],['Adult']
2165,['Business'],['Business']
17450,['Health'],['Health']
14560,['Business'],['Society']
12858,['Arts'],['Society']
678,['Computers'],['Games']
33644,['Health'],['Health']
11647,['Society'],['Society']
29413,['Adult'],['Adult']
8362,['Society'],['Science']
28857,['Business'],['Society']
46764,['Health'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Business'],['Games']
58802,['Business'],['Science']
2371,['Computers'],['Business']
24992,['Reference'],['Society']
37823,['Business'],['Health']
50923,['Games'],['Games']
52598,['Business'],['Business']
5245,['Health'],['Adult']
35266,['Business'],['Arts']
17394,['Arts'],['Business']
29253,['Business'],['Science']
40164,['Arts'],['Arts']
10980,['Business'],['Business']
2132,['Shopping'],['Business']
49169,['Arts'],['Society']
35323,['Arts'],['Arts']
33949,['Business'],['Business']
43864,['Arts'],['Arts']
40582,['Games'],['Games']
53478,['Society'],['Games']
23473,['Health'],['Health']
2114,['Business'],['Science']
48846,['Society'],['Adult']
31189,['Games'],['Games']
50849,['Health'],['Health']
29000,['Health'],['Health']
24607,['Business'],['Business']
51193,['Business'],['Society']
12807,['Health'],['Health']
11798,['Adult'],['Adult']
24863,['Recreation'],['Adult']
15170,['Shopping'],['Games']
42241,['Society'],['Society']
31495,['Computers'],['Business']
8073,['Society'],['Society']
48583,['Business'],['Society']
4317,['Recreation'],['Business']
37407,['Adult'],['Adult']
27911,['Games'],['Games']
16344,['Business'],['Business']
3067,['Health'],['Science']
54719,['Science'],['Science']
27915,['Science'],['Science']
53763,['Health'],['Adult']
17962,['Society'],['Society']
6227,['Business'],['Business']
23076,['Science'],['Science']
5644,['Business'],['Health']
13416,['Sports'],['Adult']
15794,['Business'],['Health']
41325,['Science'],['Health']
8473,['Games'],['Games']
27975,['Health'],['Health']
3505,['Business'],['Business']
16637,['Sports'],['Games']
46171,['Health'],['Society']
24122,['Arts'],['Health']
33353,['Games'],['Games']
16576,['Computers'],['Science']
4447,['Science'],['Science']
27211,['Sports'],['Business']
33744,['Health'],['Science']
56108,['Sports'],['Society']
101,['Business'],['Business']
51503,['Computers'],['Games']
43681,['Health'],['Science']
37013,['Business'],['Business']
3961,['Health'],['Health']
57830,['Reference'],['Health']
12555,['Business'],['Business']
54872,['Science'],['Science']
35982,['Business'],['Business']
16690,['Society'],['Games']
24108,['Business'],['Adult']
48935,['Society'],['Business']
43716,['Business'],['Business']
40183,['Games'],['Games']
25847,['Recreation'],['Business']
46703,['Business'],['Health']
30038,['Sports'],['Society']
42824,['Shopping'],['Adult']
39694,['Business'],['Business']
3787,['Adult'],['Adult']
55042,['Computers'],['Health']
28669,['Sports'],['Games']
27135,['Society'],['Society']
25275,['Society'],['Society']
28549,['Computers'],['Computers']
5490,['Business'],['Business']
49457,['Society'],['Society']
35702,['Adult'],['Adult']
33556,['Society'],['Science']
37216,['Computers'],['Computers']
4639,['Computers'],['Health']
55585,['Business'],['Science']
26594,['Society'],['Adult']
5387,['Arts'],['Health']
26034,['Health'],['Health']
41539,['Computers'],['Business']
35689,['Society'],['Adult']
13422,['Arts'],['Adult']
22395,['Health'],['Health']
169,['Recreation'],['Business']
22354,['Business'],['Adult']
49338,['Business'],['Health']
17568,['Computers'],['Health']
57668,['Arts'],['Science']
6063,['Health'],['Health']
34850,['Health'],['Health']
58997,['Arts'],['Computers']
58836,['Adult'],['Adult']
34762,['Computers'],['Adult']
20314,['Science'],['Science']
31408,['Society'],['Health']
5225,['Business'],['Business']
8856,['Adult'],['Adult']
13552,['Adult'],['Adult']
10703,['Recreation'],['Health']
34141,['Science'],['Science']
3607,['Society'],['Society']
22425,['Business'],['Business']
28148,['Health'],['Health']
2498,['Business'],['Business']
42156,['Arts'],['Arts']
13874,['Recreation'],['Arts']
45171,['Recreation'],['Health']
16324,['Games'],['Games']
55024,['Society'],['Health']
39524,['Computers'],['Science']
33079,['Sports'],['Arts']
38152,['Business'],['Business']
39628,['Business'],['Arts']
7988,['Business'],['Business']
54821,['Society'],['Health']
39870,['Sports'],['Arts']
57880,['Sports'],['Arts']
43249,['Science'],['Health']
17487,['Computers'],['Science']
44419,['Games'],['Games']
50974,['Health'],['Health']
14514,['Society'],['Society']
31319,['Business'],['Health']
6207,['Arts'],['Arts']
38977,['Health'],['Society']
7685,['Society'],['Society']
45667,['Health'],['Games']
48169,['Business'],['Health']
8970,['Health'],['Arts']
14436,['Games'],['Games']
53121,['Games'],['Games']
48244,['Computers'],['Arts']
5886,['Health'],['Health']
55275,['Business'],['Health']
11103,['Computers'],['Games']
9546,['Computers'],['Health']
4196,['Health'],['Health']
15077,['Business'],['Business']
