ref id,Predicted,Actual
15075,['Arts'],['Society']
53366,['Sports'],['Shopping']
46372,['Business'],['Adult']
50592,['Adult'],['Adult']
42251,['Sports'],['Games']
1037,['Society'],['Adult']
42357,['Health'],['Business']
12231,['Health'],['Arts']
4736,['Society'],['Society']
52762,['Science'],['Science']
10159,['Health'],['Health']
57366,['Sports'],['Games']
34241,['Science'],['Science']
6905,['Business'],['Business']
10752,['Business'],['Business']
8198,['Adult'],['Adult']
51580,['Adult'],['Adult']
36267,['Society'],['Society']
36566,['Computers'],['Business']
6164,['Health'],['Health']
39638,['Sports'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Adult'],['Adult']
4214,['Business'],['Business', 'Shopping']
38648,['Science'],['Science']
42955,['Computers'],['Adult']
7070,['Health'],['Health']
11857,['Business'],['Business']
33640,['Adult'],['Adult']
29015,['Adult'],['Adult']
25110,['Shopping'],['Business', 'Shopping']
8004,['Recreation'],['Science']
37555,['Computers'],['Society']
35861,['Society'],['Games']
21921,['Society'],['Adult']
27916,['Business'],['Games']
58425,['Games'],['Games']
11141,['Business'],['Health']
52698,['Computers'],['Science']
58478,['Society'],['Society']
37475,['Adult'],['Adult']
12424,['Arts'],['Society']
2613,['Games'],['Games']
39481,['Business'],['Adult']
44194,['Business'],['Health']
35937,['Shopping'],['Society']
34661,['Business'],['Adult']
32892,['Shopping'],['Society']
53008,['Business'],['Health']
23842,['Business'],['Business']
5535,['Sports'],['Adult']
50501,['Recreation'],['Games']
22385,['Science'],['Science']
44454,['Society'],['Society']
52667,['Business'],['Society']
3099,['Business'],['Business']
39160,['Business'],['Health']
39404,['Health'],['Science']
47714,['Adult'],['Adult']
29787,['Business'],['Business']
27391,['Society'],['Society']
7697,['Computers'],['Games']
42953,['Business'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Health'],['Health']
48136,['Games'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Games'],['Games']
37655,['Arts'],['Arts']
31779,['Health'],['Health']
20333,['Adult'],['Adult']
41215,['Business'],['Adult']
54187,['Health'],['Science']
2407,['Business'],['Business']
2516,['Games'],['Games']
15008,['Business'],['Arts']
12322,['Sports'],['Arts']
39489,['Society'],['Society']
27177,['Health'],['Health']
58839,['Science'],['Science']
42044,['Business'],['Science']
36500,['Sports'],['Society']
2544,['Business'],['Adult']
7815,['Shopping'],['Science']
1912,['Shopping'],['Society']
42291,['Shopping'],['Games']
1254,['Shopping'],['Society']
17842,['Adult'],['Adult']
29125,['Sports'],['Adult']
2165,['Business'],['Business']
17450,['Health'],['Health']
14560,['Business'],['Society']
12858,['Shopping'],['Society']
678,['Computers'],['Games']
33644,['Health'],['Health']
11647,['Business'],['Society']
29413,['Adult'],['Adult']
8362,['Computers'],['Science']
28857,['Society'],['Society']
46764,['Business'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Business'],['Games']
58802,['Science'],['Science']
2371,['Computers'],['Business']
24992,['Society'],['Society']
37823,['Games'],['Health']
50923,['Games'],['Games']
52598,['Business'],['Business']
5245,['Health'],['Adult']
35266,['Business'],['Arts']
17394,['Arts'],['Business']
29253,['Science'],['Science']
40164,['Arts'],['Arts']
10980,['Business'],['Business']
2132,['Business'],['Business']
49169,['Arts'],['Society']
35323,['Recreation'],['Arts']
33949,['Business'],['Business']
43864,['Arts'],['Arts']
40582,['Computers'],['Games']
53478,['Computers'],['Games']
23473,['Health'],['Health']
2114,['Business'],['Science']
48846,['Society'],['Adult']
31189,['Games'],['Games']
50849,['Health'],['Health']
29000,['Health'],['Health']
24607,['Business'],['Business']
51193,['Sports'],['Society']
12807,['Health'],['Health']
11798,['Adult'],['Adult']
24863,['Sports'],['Adult']
15170,['Shopping'],['Games']
42241,['Health'],['Society']
31495,['Business'],['Business']
8073,['Society'],['Society']
48583,['Society'],['Society']
4317,['Business'],['Business']
37407,['Adult'],['Adult']
27911,['Games'],['Games']
16344,['Business'],['Business']
3067,['Science'],['Science']
54719,['Science'],['Science']
27915,['Science'],['Science']
53763,['Society'],['Adult']
17962,['Arts'],['Society']
6227,['Business'],['Business']
23076,['Health'],['Science']
5644,['Health'],['Health']
13416,['Society'],['Adult']
15794,['Business'],['Health']
41325,['Computers'],['Health']
8473,['Games'],['Games']
27975,['Health'],['Health']
3505,['Business'],['Business']
16637,['Sports'],['Games']
46171,['Society'],['Society']
24122,['Health'],['Health']
33353,['Games'],['Games']
16576,['Science'],['Science']
4447,['Science'],['Science']
27211,['Business'],['Business']
33744,['Science'],['Science']
56108,['Society'],['Society']
101,['Business'],['Business']
51503,['Adult'],['Games']
43681,['Science'],['Science']
37013,['Business'],['Business']
3961,['Health'],['Health']
57830,['Health'],['Health']
12555,['Business'],['Business']
54872,['Science'],['Science']
35982,['Business'],['Business']
16690,['Arts'],['Games']
24108,['Arts'],['Adult']
48935,['Business'],['Business']
43716,['Business'],['Business']
40183,['Games'],['Games']
25847,['Shopping'],['Business']
46703,['Business'],['Health']
30038,['Society'],['Society']
42824,['Shopping'],['Adult']
39694,['Recreation'],['Business']
3787,['Adult'],['Adult']
55042,['Business'],['Health']
28669,['Games'],['Games']
27135,['Society'],['Society']
25275,['Society'],['Society']
28549,['Computers'],['Computers']
5490,['Business'],['Business']
49457,['Recreation'],['Society']
35702,['Adult'],['Adult']
33556,['Arts'],['Science']
37216,['Computers'],['Computers']
4639,['Society'],['Health']
55585,['Science'],['Science']
26594,['Arts'],['Adult']
5387,['Society'],['Health']
26034,['Health'],['Health']
41539,['Business'],['Business']
35689,['Society'],['Adult']
13422,['Arts'],['Adult']
22395,['Health'],['Health']
169,['Business'],['Business']
22354,['Business'],['Adult']
49338,['Business'],['Health']
17568,['Health'],['Health']
57668,['Computers'],['Science']
6063,['Health'],['Health']
34850,['Health'],['Health']
58997,['Recreation'],['Computers']
58836,['Adult'],['Adult']
34762,['Sports'],['Adult']
20314,['Science'],['Science']
31408,['Health'],['Health']
5225,['Business'],['Business']
8856,['Adult'],['Adult']
13552,['Adult'],['Adult']
10703,['Recreation'],['Health']
34141,['Science'],['Science']
3607,['Society'],['Society']
22425,['Computers'],['Business']
28148,['Health'],['Health']
2498,['Business'],['Business']
42156,['Arts'],['Arts']
13874,['Shopping'],['Arts']
45171,['Health'],['Health']
16324,['Games'],['Games']
55024,['Recreation'],['Health']
39524,['Science'],['Science']
33079,['Business'],['Arts']
38152,['Business'],['Business']
39628,['Shopping'],['Arts']
7988,['Business'],['Business']
54821,['Health'],['Health']
39870,['Sports'],['Arts']
57880,['Games'],['Arts']
43249,['Health'],['Health']
17487,['Science'],['Science']
44419,['Business'],['Games']
50974,['Recreation'],['Health']
14514,['Society'],['Society']
31319,['Recreation'],['Health']
6207,['Arts'],['Arts']
38977,['Society'],['Society']
7685,['Society'],['Society']
45667,['Computers'],['Games']
48169,['Society'],['Health']
8970,['Arts'],['Arts']
14436,['Games'],['Games']
53121,['Games'],['Games']
48244,['Arts'],['Arts']
5886,['Science'],['Health']
55275,['Recreation'],['Health']
11103,['Games'],['Games']
9546,['Shopping'],['Health']
4196,['Health'],['Health']
15077,['Business'],['Business']
