ref id,Predicted,Actual
15075,['Shopping'],['Society']
53366,['Sports'],['Shopping']
46372,['Business'],['Adult']
50592,['Adult'],['Adult']
42251,['Science'],['Games']
1037,['Arts'],['Adult']
42357,['Computers'],['Business']
12231,['Sports'],['Arts']
4736,['Shopping'],['Society']
52762,['Science'],['Science']
10159,['Science'],['Health']
57366,['Sports'],['Games']
34241,['Science'],['Science']
6905,['Business'],['Business']
10752,['Computers'],['Business']
8198,['Health'],['Adult']
51580,['Games'],['Adult']
36267,['Science'],['Society']
36566,['Shopping'],['Business']
6164,['Science'],['Health']
39638,['Arts'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Society'],['Adult']
4214,['Society'],['Business', 'Shopping']
38648,['Science'],['Science']
42955,['Computers'],['Adult']
7070,['Science'],['Health']
11857,['Business'],['Business']
33640,['Shopping'],['Adult']
29015,['Adult'],['Adult']
25110,['Sports'],['Business', 'Shopping']
8004,['Science'],['Science']
37555,['Business'],['Society']
35861,['Business'],['Games']
21921,['Arts'],['Adult']
27916,['Adult'],['Games']
58425,['Games'],['Games']
11141,['Business'],['Health']
52698,['Health'],['Science']
58478,['Health'],['Society']
37475,['Sports'],['Adult']
12424,['Science'],['Society']
2613,['Games'],['Games']
39481,['Adult'],['Adult']
44194,['Health'],['Health']
35937,['Health'],['Society']
34661,['Shopping'],['Adult']
32892,['Business'],['Society']
53008,['Computers'],['Health']
23842,['Business'],['Business']
5535,['Sports'],['Adult']
50501,['Shopping'],['Games']
22385,['Science'],['Science']
44454,['Society'],['Society']
52667,['Health'],['Society']
3099,['Shopping'],['Business']
39160,['Health'],['Health']
39404,['Health'],['Science']
47714,['Adult'],['Adult']
29787,['Games'],['Business']
27391,['Business'],['Society']
7697,['Business'],['Games']
42953,['Computers'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Health'],['Health']
48136,['Games'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Society'],['Games']
37655,['Arts'],['Arts']
31779,['Health'],['Health']
20333,['Computers'],['Adult']
41215,['Business'],['Adult']
54187,['Science'],['Science']
2407,['Business'],['Business']
2516,['Games'],['Games']
15008,['Arts'],['Arts']
12322,['Arts'],['Arts']
39489,['Reference'],['Society']
27177,['Business'],['Health']
58839,['Science'],['Science']
42044,['Business'],['Science']
36500,['Shopping'],['Society']
2544,['Business'],['Adult']
7815,['Shopping'],['Science']
1912,['Computers'],['Society']
42291,['Games'],['Games']
1254,['Sports'],['Society']
17842,['Adult'],['Adult']
29125,['Sports'],['Adult']
2165,['Science'],['Business']
17450,['Health'],['Health']
14560,['Business'],['Society']
12858,['Business'],['Society']
678,['Computers'],['Games']
33644,['Science'],['Health']
11647,['Shopping'],['Society']
29413,['Recreation'],['Adult']
8362,['Society'],['Science']
28857,['Sports'],['Society']
46764,['Health'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Business'],['Games']
58802,['Reference'],['Science']
2371,['Computers'],['Business']
24992,['Arts'],['Society']
37823,['Business'],['Health']
50923,['Sports'],['Games']
52598,['Business'],['Business']
5245,['Society'],['Adult']
35266,['Business'],['Arts']
17394,['Arts'],['Business']
29253,['Business'],['Science']
40164,['Science'],['Arts']
10980,['Shopping'],['Business']
2132,['Computers'],['Business']
49169,['Arts'],['Society']
35323,['Arts'],['Arts']
33949,['Science'],['Business']
43864,['Arts'],['Arts']
40582,['Games'],['Games']
53478,['Society'],['Games']
23473,['Business'],['Health']
2114,['Business'],['Science']
48846,['Adult'],['Adult']
31189,['Games'],['Games']
50849,['Health'],['Health']
29000,['Computers'],['Health']
24607,['Shopping'],['Business']
51193,['Adult'],['Society']
12807,['Health'],['Health']
11798,['Shopping'],['Adult']
24863,['Recreation'],['Adult']
15170,['Computers'],['Games']
42241,['Society'],['Society']
31495,['Business'],['Business']
8073,['Society'],['Society']
48583,['Business'],['Society']
4317,['Business'],['Business']
37407,['Computers'],['Adult']
27911,['Games'],['Games']
16344,['Business'],['Business']
3067,['Health'],['Science']
54719,['Health'],['Science']
27915,['Science'],['Science']
53763,['Society'],['Adult']
17962,['Society'],['Society']
6227,['Business'],['Business']
23076,['Science'],['Science']
5644,['Adult'],['Health']
13416,['Business'],['Adult']
15794,['Business'],['Health']
41325,['Health'],['Health']
8473,['Games'],['Games']
27975,['Health'],['Health']
3505,['Business'],['Business']
16637,['Computers'],['Games']
46171,['Health'],['Society']
24122,['Arts'],['Health']
33353,['Health'],['Games']
16576,['Business'],['Science']
4447,['Science'],['Science']
27211,['Sports'],['Business']
33744,['Society'],['Science']
56108,['Sports'],['Society']
101,['Business'],['Business']
51503,['Recreation'],['Games']
43681,['Business'],['Science']
37013,['Business'],['Business']
3961,['Business'],['Health']
57830,['Reference'],['Health']
12555,['Business'],['Business']
54872,['Computers'],['Science']
35982,['Business'],['Business']
16690,['Recreation'],['Games']
24108,['Business'],['Adult']
48935,['Society'],['Business']
43716,['Business'],['Business']
40183,['Games'],['Games']
25847,['Recreation'],['Business']
46703,['Health'],['Health']
30038,['Sports'],['Society']
42824,['Shopping'],['Adult']
39694,['Business'],['Business']
3787,['Society'],['Adult']
55042,['Health'],['Health']
28669,['Sports'],['Games']
27135,['Society'],['Society']
25275,['Health'],['Society']
28549,['Shopping'],['Computers']
5490,['Business'],['Business']
49457,['Arts'],['Society']
35702,['Adult'],['Adult']
33556,['Health'],['Science']
37216,['Shopping'],['Computers']
4639,['Arts'],['Health']
55585,['Science'],['Science']
26594,['Sports'],['Adult']
5387,['Arts'],['Health']
26034,['Society'],['Health']
41539,['Computers'],['Business']
35689,['Computers'],['Adult']
13422,['Shopping'],['Adult']
22395,['Health'],['Health']
169,['Recreation'],['Business']
22354,['Business'],['Adult']
49338,['Business'],['Health']
17568,['Computers'],['Health']
57668,['Science'],['Science']
6063,['Business'],['Health']
34850,['Health'],['Health']
58997,['Recreation'],['Computers']
58836,['Adult'],['Adult']
34762,['Sports'],['Adult']
20314,['Computers'],['Science']
31408,['Society'],['Health']
5225,['Business'],['Business']
8856,['Adult'],['Adult']
13552,['Health'],['Adult']
10703,['Recreation'],['Health']
34141,['Sports'],['Science']
3607,['Society'],['Society']
22425,['Games'],['Business']
28148,['Health'],['Health']
2498,['Reference'],['Business']
42156,['Sports'],['Arts']
13874,['Shopping'],['Arts']
45171,['Society'],['Health']
16324,['Games'],['Games']
55024,['Games'],['Health']
39524,['Sports'],['Science']
33079,['Business'],['Arts']
38152,['Arts'],['Business']
39628,['Recreation'],['Arts']
7988,['Business'],['Business']
54821,['Health'],['Health']
39870,['Business'],['Arts']
57880,['Recreation'],['Arts']
43249,['Health'],['Health']
17487,['Computers'],['Science']
44419,['Games'],['Games']
50974,['Health'],['Health']
14514,['Society'],['Society']
31319,['Recreation'],['Health']
6207,['Arts'],['Arts']
38977,['Society'],['Society']
7685,['Society'],['Society']
45667,['Health'],['Games']
48169,['Business'],['Health']
