ref id,Predicted,Actual
34079,['Society', 'Shopping', 'Sports', 'Recreation'],['Shopping']
34081,['Shopping', 'Society', 'Home', 'Recreation'],['Shopping']
3,['Recreation', 'Business', 'Society', 'Shopping'],['Arts']
5,['Adult', 'Shopping', 'Recreation', 'Business'],['Adult']
34087,['Society', 'Shopping', 'Arts', 'Home'],['Shopping']
34089,['Shopping', 'Business', 'Society', 'Sports'],['Shopping']
20,['Sports', 'Society', 'Business', 'Recreation'],['Adult']
27,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
35,['Adult', 'Arts', 'Recreation', 'Home'],['Adult']
36,['Arts', 'Adult', 'Games', 'Recreation'],['Adult']
37,['Adult', 'Arts', 'Recreation', 'Business'],['Adult']
39,['Adult', 'Business', 'News', 'Arts'],['Adult']
34118,['Shopping', 'Society', 'Arts', 'Business'],['Shopping']
43,['Adult', 'Arts', 'Recreation', 'Computers'],['Adult']
49,['Adult', 'Recreation', 'Reference', 'Computers'],['Adult']
34133,['Shopping', 'Society', 'Recreation', 'Business'],['Shopping']
59,['Adult', 'Society', 'Recreation', 'Arts'],['Adult']
64,['Adult', 'Recreation', 'News', 'Home'],['Adult']
66,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
80,['Business', 'Computers', 'Shopping', 'Arts'],['Business']
85,['Arts', 'Recreation', 'Reference', 'Business'],['Adult']
34169,['Shopping', 'Society', 'Business', 'Arts'],['Shopping']
34171,['Society', 'Shopping', 'Business', 'Sports'],['Shopping']
34173,['Society', 'Shopping', 'Business', 'Recreation'],['Shopping']
93,['Adult', 'Society', 'Business', 'Shopping'],['Adult']
34178,['Shopping', 'Society', 'Arts', 'Business'],['Shopping']
98,['Adult', 'Society', 'Recreation', 'Business'],['Adult']
34187,['Society', 'Business', 'Shopping', 'Arts'],['Society']
107,['Adult', 'News', 'Arts', 'Recreation'],['Adult']
34191,['Computers', 'Business', 'Society', 'Science'],['Society']
112,['Adult', 'Shopping', 'Business', 'Recreation'],['Adult']
34194,['Society', 'Health', 'Recreation', 'Sports'],['Society']
34200,['Society', 'Business', 'Sports', 'Shopping'],['Society']
34204,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
138,['Business', 'News', 'Society', 'Arts'],['News', 'Home', 'Arts']
144,['Arts', 'Recreation', 'Home', 'Games'],['Arts']
150,['Arts', 'Recreation', 'News', 'Business'],['Arts']
165,['Computers', 'Business', 'News', 'Arts'],['Shopping', 'Arts']
34256,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
34257,['Society', 'Computers', 'Business', 'Health'],['Society']
176,['Arts', 'Business', 'Society', 'Recreation'],['Arts']
34260,['Society', 'Business', 'Arts', 'Science'],['Society']
184,['Games', 'Arts', 'Computers', 'Recreation'],['Arts']
194,['Arts', 'Reference', 'Recreation', 'Computers'],['Computers', 'Arts']
200,['Arts', 'Society', 'Home', 'Sports'],['Arts']
34283,['Society', 'Health', 'Business', 'Arts'],['Society']
204,['Arts', 'Business', 'Recreation', 'Computers'],['Arts']
206,['Arts', 'Recreation', 'Society', 'Reference'],['Arts']
34292,['Shopping', 'Society', 'Business', 'Arts'],['Society']
34300,['Society', 'Computers', 'Business', 'Shopping'],['Society']
221,['Arts', 'News', 'Recreation', 'Business'],['Arts']
34303,['Adult', 'Shopping', 'Society', 'Sports'],['Society']
228,['Arts', 'Recreation', 'Games', 'Society'],['Arts']
230,['Arts', 'Recreation', 'Business', 'Society'],['Arts']
34313,['Society', 'Health', 'Sports', 'Shopping'],['Society']
34317,['Reference', 'Society', 'Shopping', 'Business'],['Society']
239,['Games', 'Arts', 'Society', 'Shopping'],['Society', 'Arts']
34322,['Society', 'Home', 'Business', 'Arts'],['Society']
34323,['Health', 'Society', 'Arts', 'Recreation'],['Society']
242,['Arts', 'Recreation', 'News', 'Science'],['Arts']
249,['Computers', 'Arts', 'Business', 'News'],['News', 'Business']
34334,['Society', 'Sports', 'Business', 'Recreation'],['Society']
34335,['Society', 'Arts', 'Recreation', 'Health'],['Society']
257,['Business', 'Computers', 'Shopping', 'Society'],['Business']
272,['Computers', 'Business', 'Science', 'Society'],['Business', 'Computers']
274,['Business', 'Arts', 'Recreation', 'Shopping'],['Business']
277,['Recreation', 'Business', 'Society', 'Shopping'],['Games', 'Shopping']
34361,['Society', 'Home', 'Shopping', 'Sports'],['Society']
34367,['Computers', 'Shopping', 'Business', 'Society'],['Society']
34375,['Games', 'Society', 'Recreation', 'Arts'],['Society']
34383,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
303,['Computers', 'Business', 'News', 'Home'],['Business', 'Computers']
312,['Business', 'Society', 'Shopping', 'News'],['Business']
34395,['Society', 'Business', 'Health', 'Arts'],['Society']
34397,['Society', 'Home', 'Shopping', 'Recreation'],['Society']
34399,['Society', 'Reference', 'Business', 'Health'],['Society']
318,['Business', 'News', 'Recreation', 'Arts'],['Business']
34400,['Society', 'Sports', 'Business', 'Recreation'],['Society']
322,['Business', 'Games', 'Computers', 'Society'],['Business']
34406,['Society', 'Business', 'Health', 'Sports'],['Society']
34408,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
331,['Business', 'Home', 'Society', 'News'],['Business']
34417,['Society', 'Business', 'Shopping', 'Computers'],['Society']
336,['Business', 'Computers', 'Shopping', 'Reference'],['Business', 'Computers']
34424,['Society', 'Health', 'Sports', 'Business'],['Society']
34429,['Society', 'Computers', 'Business', 'Shopping'],['Society']
348,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Shopping']
350,['Business', 'News', 'Science', 'Reference'],['Business']
34433,['Society', 'Arts', 'Recreation', 'Business'],['Society']
356,['Recreation', 'Business', 'Arts', 'Computers'],['Computers']
364,['News', 'Arts', 'Recreation', 'Business'],['Computers']
34447,['Society', 'Business', 'Health', 'News'],['Society']
367,['Computers', 'Business', 'Shopping', 'Reference'],['Computers']
34449,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34450,['Society', 'Recreation', 'Business', 'Shopping'],['Society']
375,['Computers', 'Business', 'Reference', 'Health'],['Computers']
34457,['Society', 'News', 'Business', 'Arts'],['Society']
384,['Business', 'Recreation', 'Society', 'Computers'],['Computers']
34466,['Society', 'Shopping', 'Business', 'Arts'],['Society']
34471,['Society', 'Recreation', 'Arts', 'Reference'],['Society']
34475,['Society', 'News', 'Business', 'Arts'],['Society']
394,['Business', 'Recreation', 'Home', 'Arts'],['Computers']
34476,['Society', 'Arts', 'Shopping', 'Business'],['Society']
396,['Computers', 'Business', 'Arts', 'Society'],['Computers']
34488,['Society', 'Shopping', 'Business', 'Computers'],['Society']
414,['News', 'Business', 'Arts', 'Computers'],['Computers']
34514,['Society', 'Shopping', 'Business', 'Computers'],['Society']
34518,['Games', 'Adult', 'Shopping', 'Business'],['Society']
34520,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
34526,['Society', 'Business', 'Shopping', 'Health'],['Society']
34532,['Society', 'Business', 'Shopping', 'Science'],['Society']
34536,['Society', 'Sports', 'Arts', 'Business'],['Society']
34537,['Society', 'Shopping', 'Arts', 'Business'],['Society']
34538,['Society', 'Shopping', 'Business', 'Sports'],['Society']
34548,['Society', 'Shopping', 'Business', 'Sports'],['Society']
34555,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34558,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
34562,['Society', 'Shopping', 'Recreation', 'Arts'],['Society']
480,['Games', 'Recreation', 'Computers', 'Arts'],['Games', 'Arts']
34573,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
34574,['Society', 'Shopping', 'Business', 'Sports'],['Society']
34582,['Society', 'Business', 'Shopping', 'Computers'],['Society']
500,['Business', 'Computers', 'Recreation', 'Shopping'],['Games']
34585,['Society', 'Health', 'Business', 'Shopping'],['Society']
34591,['Society', 'Shopping', 'Business', 'Arts'],['Society']
509,['Games', 'Arts', 'Business', 'Recreation'],['Games']
512,['Games', 'Computers', 'Arts', 'Recreation'],['Games']
520,['Arts', 'Computers', 'Business', 'Recreation'],['Games']
526,['Games', 'Business', 'Shopping', 'Reference'],['Games']
34610,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
34618,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34625,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
543,['Health', 'Business', 'Reference', 'Science'],['Science', 'Health']
545,['Health', 'Science', 'Reference', 'Recreation'],['Health']
546,['Health', 'Science', 'Society', 'Recreation'],['Health']
34629,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34631,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34632,['Society', 'Recreation', 'Arts', 'Reference'],['Society']
553,['Health', 'Science', 'Society', 'Business'],['Science', 'Health']
34641,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
560,['Reference', 'Science', 'Computers', 'News'],['Reference', 'Health']
571,['Health', 'Business', 'Reference', 'Society'],['Health']
34655,['Society', 'Shopping', 'Business', 'Health'],['Society']
574,['Health', 'Home', 'Recreation', 'Arts'],['Health']
582,['Health', 'Society', 'Home', 'Business'],['Health']
34670,['Business', 'Society', 'Science', 'Reference'],['Society']
588,['Health', 'Arts', 'Recreation', 'Business'],['Health']
34674,['Society', 'Business', 'Arts', 'Shopping'],['Society']
34677,['Shopping', 'Society', 'Business', 'Recreation'],['Society']
34679,['Society', 'Health', 'Recreation', 'Business'],['Society']
608,['Health', 'Home', 'Business', 'Society'],['Health']
613,['Home', 'Health', 'Arts', 'Business'],['Health']
34704,['Society', 'Business', 'Science', 'Computers'],['Society']
34705,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
627,['Health', 'Arts', 'Business', 'Adult'],['Health']
34712,['Society', 'Sports', 'Health', 'Arts'],['Society']
34713,['Society', 'Business', 'Computers', 'Health'],['Society']
635,['Health', 'Home', 'Business', 'News'],['Health']
34719,['Society', 'Recreation', 'Arts', 'Business'],['Society']
34724,['Society', 'Business', 'Health', 'Science'],['Society']
642,['Health', 'Business', 'Reference', 'Recreation'],['Health']
34731,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
34732,['Shopping', 'Business', 'Society', 'Recreation'],['Society']
655,['Health', 'Business', 'Recreation', 'Reference'],['Health']
663,['Health', 'Reference', 'Business', 'Arts'],['Health']
664,['Health', 'Business', 'Society', 'Recreation'],['Health']
667,['Health', 'Business', 'Science', 'Society'],['Health']
34754,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
679,['Health', 'Reference', 'Science', 'News'],['Health']
34762,['Society', 'Home', 'Health', 'Business'],['Society']
681,['Computers', 'Home', 'Arts', 'Recreation'],['Home']
34771,['Society', 'Business', 'Arts', 'Sports'],['Society']
690,['Arts', 'Business', 'Society', 'Recreation'],['Home']
34777,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34778,['Society', 'Computers', 'Business', 'Reference'],['Society']
34784,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
701,['Home', 'Shopping', 'Business', 'Recreation'],['Home']
702,['Home', 'Business', 'Society', 'Arts'],['Home']
34790,['Society', 'Recreation', 'Business', 'Health'],['Society']
709,['Recreation', 'Computers', 'Arts', 'Business'],['Home', 'Computers']
34798,['Society', 'Sports', 'Health', 'Business'],['Society']
34801,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
34803,['Arts', 'Society', 'Business', 'Shopping'],['Society']
34808,['Sports', 'Society', 'Shopping', 'Recreation'],['Society']
34815,['Society', 'Arts', 'Business', 'Sports'],['Society']
735,['Shopping', 'Business', 'Recreation', 'Computers'],['Home']
34823,['Shopping', 'Society', 'Sports', 'Business'],['Society']
741,['Health', 'Recreation', 'Business', 'Home'],['Home']
746,['Home', 'Business', 'Arts', 'Society'],['Home']
747,['Home', 'Business', 'Arts', 'Recreation'],['Home']
34831,['Society', 'Health', 'Business', 'Computers'],['Society']
749,['Business', 'Recreation', 'Computers', 'Science'],['Home']
34842,['Arts', 'Society', 'Shopping', 'Sports'],['Society']
761,['Home', 'Business', 'Health', 'Computers'],['Home']
765,['Society', 'Health', 'Home', 'Recreation'],['Science', 'Home']
34849,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
777,['Recreation', 'Arts', 'Home', 'Business'],['Home']
779,['Home', 'Business', 'Arts', 'Recreation'],['Home']
34865,['Society', 'Sports', 'Recreation', 'Business'],['Society']
34873,['Arts', 'Society', 'Shopping', 'Business'],['Society']
794,['Shopping', 'Business', 'Recreation', 'Arts'],['Home']
801,['Home', 'Recreation', 'Business', 'Arts'],['Home']
803,['Shopping', 'Recreation', 'Arts', 'Business'],['Home', 'Shopping']
804,['Business', 'Computers', 'Recreation', 'Home'],['Home']
34889,['Society', 'News', 'Adult', 'Arts'],['Society']
34890,['Computers', 'Society', 'News', 'Business'],['Society']
809,['Computers', 'Business', 'Recreation', 'Reference'],['Home']
812,['Home', 'Business', 'Arts', 'Shopping'],['Home']
34896,['Computers', 'Society', 'Arts', 'Recreation'],['Society']
34898,['Business', 'Shopping', 'Society', 'Recreation'],['Society']
34904,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
837,['Computers', 'Arts', 'Recreation', 'Business'],['Computers']
863,['Sports', 'Recreation', 'Business', 'Society'],['Sports']
872,['Arts', 'Science', 'Reference', 'Business'],['Science']
34939,['Society', 'Business', 'Shopping', 'Sports'],['Society']
34940,['Shopping', 'Society', 'Business', 'Recreation'],['Society']
877,['News', 'Business', 'Reference', 'Sports'],['Sports']
34942,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
34943,['Society', 'Arts', 'Shopping', 'Business'],['Society']
34944,['Society', 'Recreation', 'Reference', 'Shopping'],['Society']
