ref id,Predicted,Actual
0,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34085,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
16,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34096,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
22,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
27,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34109,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
34112,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
37,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
40,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
64,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
71,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
72,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
74,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34158,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
34159,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
34166,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
34171,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
95,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34182,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
105,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
108,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
109,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
34189,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
114,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
115,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
117,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
122,['Business', 'Shopping', 'Computers', 'Arts'],['Adult']
150,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34232,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34243,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
172,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
173,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
177,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34260,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
181,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
183,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
184,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
189,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
190,['Business', 'Shopping', 'Computers', 'Arts'],['Arts', 'Computers']
34275,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
197,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34279,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
216,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34302,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34310,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
230,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
233,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
234,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34317,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34319,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
240,['Business', 'Computers', 'Arts', 'Recreation'],['Arts']
34324,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
245,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34330,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34332,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34334,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
262,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Home']
268,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
34359,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34367,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
287,['Business', 'Computers', 'Arts', 'Recreation'],['Business']
288,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Home']
34370,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
295,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'News', 'Home']
296,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Computers']
34385,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
307,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
310,['Business', 'Computers', 'Recreation', 'Arts'],['Business', 'Home']
34393,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34396,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
316,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'News']
34401,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34402,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
321,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
34405,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34408,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
328,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
34411,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
334,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Sports']
340,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
341,['Business', 'Computers', 'News', 'Arts'],['Business']
34432,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
351,['Business', 'Shopping', 'Computers', 'Arts'],['Business']
34433,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34436,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34438,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
362,['Business', 'Shopping', 'Computers', 'Arts'],['Computers']
366,['Business', 'Shopping', 'Computers', 'Arts'],['Reference', 'Computers']
34450,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34465,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
384,['Business', 'Shopping', 'Computers', 'Arts'],['Computers']
34484,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
403,['Business', 'Shopping', 'Computers', 'Arts'],['Computers']
34485,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34491,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
410,['Business', 'Shopping', 'Computers', 'Arts'],['Computers']
34493,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34494,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
429,['Business', 'Shopping', 'Computers', 'Arts'],['Computers']
34514,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34518,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34520,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
445,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
34546,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
465,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
468,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
472,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
476,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
477,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
480,['Business', 'Shopping', 'Computers', 'Arts'],['Arts', 'Games']
34569,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34572,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34576,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34580,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34581,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34584,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
506,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
34596,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34609,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
527,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
34611,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
534,['Business', 'Shopping', 'Computers', 'Arts'],['Games']
34626,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34631,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
550,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34633,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34634,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34640,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
559,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34644,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
566,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
567,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34652,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
572,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34659,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
579,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34672,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34675,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34678,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34681,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
601,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34685,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34687,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
611,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
616,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34715,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
636,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34722,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
643,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34726,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34731,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34736,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34737,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
657,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34740,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
667,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
672,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
34760,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
678,['Business', 'Shopping', 'Computers', 'Arts'],['Health']
683,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
34768,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34769,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
689,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
34778,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34786,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
707,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
710,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
34800,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34801,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34805,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
732,['Business', 'Shopping', 'Computers', 'Arts'],['Society', 'Home']
746,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
749,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
770,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
34855,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
773,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
774,['Business', 'Shopping', 'Computers', 'Arts'],['Home']
775,['Business', 'Shopping', 'Computers', 'Arts'],['Recreation', 'Home']
34863,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34867,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34876,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34893,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
810,['Business', 'Shopping', 'Computers', 'Arts'],['Recreation', 'Home']
34895,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34898,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
817,['Business', 'Shopping', 'Computers', 'Arts'],['Recreation']
34909,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
835,['Business', 'Shopping', 'Computers', 'Arts'],['Science']
836,['Business', 'Shopping', 'Computers', 'Arts'],['Sports']
846,['Business', 'Shopping', 'Computers', 'Arts'],['Sports']
848,['Business', 'Shopping', 'Computers', 'Arts'],['Science', 'Reference']
34923,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
851,['Business', 'Shopping', 'Computers', 'Arts'],['Science']
34929,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34937,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
879,['Business', 'Shopping', 'Computers', 'Arts'],['Arts']
34951,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34954,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
903,['Business', 'Shopping', 'Computers', 'Arts'],['Society', 'Science']
34960,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34964,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34967,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
931,['Business', 'Shopping', 'Computers', 'Arts'],['News']
935,['Business', 'Shopping', 'Computers', 'Arts'],['News']
34989,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
34991,['Business', 'Shopping', 'Computers', 'Arts'],['Society']
941,['Business', 'Shopping', 'Computers', 'Arts'],['News']
