ref id,Predicted,Actual
0,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34085,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
16,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34096,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
22,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
27,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34109,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
34112,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
37,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
40,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
64,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
71,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
72,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
74,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34158,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
34159,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
34166,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
34171,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
95,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34182,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
105,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
108,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
109,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34189,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
114,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
115,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
117,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
122,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
150,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34232,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34243,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
172,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
173,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
177,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34260,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
181,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
183,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
184,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
189,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
190,['Health', 'Shopping', 'Recreation', 'Games'],['Arts', 'Computers']
