ref id,Predicted,Actual
0,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34085,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
16,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34096,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
22,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
27,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34109,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
34112,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
37,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
40,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
64,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
71,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
72,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
74,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34158,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
34159,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
34166,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
34171,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
95,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34182,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
105,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
108,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
109,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34189,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
114,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
115,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
117,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
122,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
150,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34232,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34243,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
172,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
173,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
177,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34260,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
181,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
183,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
184,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
189,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
190,['Business', 'Shopping', 'Arts', 'Computers'],['Arts', 'Computers']
34275,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
197,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34279,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
216,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34302,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34310,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
230,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
233,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
234,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34317,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34319,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
240,['Recreation', 'Arts', 'Computers', 'Business'],['Arts']
34324,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
245,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34330,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34332,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34334,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
262,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Home']
268,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
34359,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34367,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
287,['Recreation', 'Arts', 'Computers', 'Business'],['Business']
288,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Home']
34370,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
295,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'News', 'Home']
296,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Computers']
34385,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
307,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
310,['Computers', 'Business', 'Recreation', 'Arts'],['Business', 'Home']
34393,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34396,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
316,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'News']
34401,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34402,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
321,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
34405,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34408,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
328,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
34411,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
334,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Sports']
340,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
341,['Computers', 'Business', 'News', 'Health'],['Business']
34432,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
351,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
34433,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34436,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34438,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
362,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
366,['Business', 'Shopping', 'Arts', 'Computers'],['Reference', 'Computers']
34450,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34465,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
384,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
34484,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
403,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
