ref id,Predicted,Actual
44778,['Society', 'Business', 'Health', 'Sports'],['Society']
41641,['Business', 'Society', 'Arts', 'Sports'],['Business']
51900,['Arts', 'Health', 'Business', 'Society'],['Games']
27133,['Recreation', 'Computers', 'Arts', 'Health'],['Health']
55331,['Health', 'Business', 'Recreation', 'Computers'],['Business']
65,['Shopping', 'Business', 'Society', 'Computers'],['Adult']
33476,['Arts', 'Computers', 'Business', 'Sports'],['Adult']
38632,['Arts', 'Society', 'Health', 'Sports'],['Games']
27671,['Recreation', 'Arts', 'Computers', 'Adult'],['Health']
34026,['Business', 'Computers', 'Arts', 'Recreation'],['Business']
4628,['Business', 'Adult', 'Games', 'Computers'],['Science']
34360,['Sports', 'Society', 'Shopping', 'Computers'],['Adult']
47919,['Business', 'Computers', 'Arts', 'Sports'],['Business']
48752,['Computers', 'Science', 'Games', 'Shopping'],['Science']
38766,['Business', 'Health', 'Shopping', 'Computers'],['Business']
1641,['Science', 'Computers', 'Health', 'Reference'],['Science']
13392,['Sports', 'Shopping', 'Society', 'Science'],['Adult']
40050,['Recreation', 'Health', 'Arts', 'Society'],['Business']
10389,['Sports', 'Society', 'Health', 'Computers'],['Society']
39087,['Adult', 'Arts', 'Society', 'Business'],['Adult']
10329,['Science', 'Reference', 'Arts', 'Recreation'],['Science']
32601,['Sports', 'Shopping', 'Society', 'Computers'],['Adult']
53552,['Science', 'Health', 'Computers', 'Reference'],['Science']
5248,['Society', 'Sports', 'Recreation', 'Computers'],['Society']
2850,['Adult', 'Sports', 'Recreation', 'Games'],['Adult']
1527,['Society', 'Sports', 'Health', 'Computers'],['Adult']
34551,['Society', 'Computers', 'Sports', 'Science'],['Health']
183,['Recreation', 'Shopping', 'Science', 'Health'],['Games']
54553,['Arts', 'Society', 'Recreation', 'Health'],['Games']
43837,['Recreation', 'Computers', 'Health', 'Adult'],['Adult']
13649,['Health', 'Computers', 'Recreation', 'Arts'],['Health']
57131,['Sports', 'Arts', 'Society', 'Shopping'],['Society']
22928,['Recreation', 'Games', 'Business', 'Arts'],['Adult']
14121,['Games', 'Recreation', 'Adult', 'Sports'],['Adult']
22210,['Recreation', 'Health', 'Science', 'Computers'],['Science', 'Business', 'Society']
46446,['Business', 'Shopping', 'Society', 'Science'],['Business']
49474,['Business', 'Health', 'Computers', 'Arts'],['Business']
52476,['Recreation', 'Science', 'Reference', 'Health'],['Science']
47699,['Arts', 'Computers', 'Sports', 'Society'],['Society']
4481,['Sports', 'Health', 'Society', 'Computers'],['Games']
22284,['Shopping', 'Sports', 'Society', 'Business'],['Science']
46348,['Computers', 'Arts', 'Society', 'Science'],['Science']
11034,['Computers', 'Society', 'Games', 'Arts'],['Science']
32912,['Sports', 'Society', 'Adult', 'Health'],['Adult']
57723,['Games', 'Computers', 'Recreation', 'Health'],['Society']
41079,['Society', 'Recreation', 'Games', 'Shopping'],['Society']
20587,['Science', 'Games', 'Arts', 'Health'],['Science']
28674,['Science', 'Computers', 'Reference', 'Health'],['Science']
12894,['Business', 'Shopping', 'Computers', 'Society'],['Business']
54245,['Arts', 'Sports', 'Society', 'Business'],['Society']
28756,['Health', 'Arts', 'Science', 'Recreation'],['Science']
47330,['Recreation', 'Business', 'Games', 'Arts'],['Science']
25865,['Business', 'Arts', 'Games', 'Computers'],['Science']
53326,['Computers', 'Science', 'Recreation', 'Society'],['Games']
16683,['Recreation', 'Science', 'Health', 'Business'],['Business']
15402,['Business', 'Health', 'Computers', 'Science'],['Science']
52497,['Arts', 'Recreation', 'Health', 'Society'],['Adult']
28841,['Sports', 'Society', 'Adult', 'Computers'],['Society']
15153,['Computers', 'Health', 'Games', 'Adult'],['Games']
39619,['Sports', 'Society', 'Arts', 'Science'],['Society']
8316,['Adult', 'Recreation', 'Games', 'Sports'],['Adult']
58567,['Sports', 'Recreation', 'Computers', 'Business'],['Games']
