ref id,Predicted,Actual
44778,['Society', 'Health', 'Business', 'Reference'],['Society']
41641,['Business', 'Health', 'Computers', 'Science'],['Business']
51900,['Arts', 'Society', 'Shopping', 'Adult'],['Games']
27133,['Health', 'Science', 'Recreation', 'Reference'],['Health']
55331,['Health', 'Business', 'Science', 'Recreation'],['Business']
65,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
33476,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
38632,['Society', 'Sports', 'Shopping', 'Science'],['Games']
27671,['Recreation', 'Science', 'Health', 'Games'],['Health']
34026,['Business', 'Computers', 'Health', 'Science'],['Business']
4628,['Computers', 'Science', 'Games', 'Recreation'],['Science']
34360,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
47919,['Business', 'Computers', 'Health', 'Science'],['Business']
48752,['Science', 'Reference', 'Health', 'Computers'],['Science']
38766,['Business', 'Computers', 'Sports', 'Society'],['Business']
1641,['Reference', 'Science', 'Health', 'Sports'],['Science']
13392,['Adult', 'Shopping', 'Society', 'Sports'],['Adult']
40050,['Health', 'Society', 'Science', 'Business'],['Business']
10389,['Society', 'Games', 'Adult', 'Sports'],['Society']
39087,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
10329,['Reference', 'Science', 'Health', 'Sports'],['Science']
32601,['Sports', 'Shopping', 'Business', 'Society'],['Adult']
53552,['Reference', 'Science', 'Health', 'Sports'],['Science']
5248,['Society', 'Sports', 'Shopping', 'Science'],['Society']
2850,['Adult', 'Society', 'Business', 'Health'],['Adult']
1527,['Adult', 'Recreation', 'Sports', 'Society'],['Adult']
34551,['Science', 'Reference', 'Health', 'Society'],['Health']
183,['Adult', 'Shopping', 'Games', 'Sports'],['Games']
54553,['Games', 'Society', 'Sports', 'Shopping'],['Games']
43837,['Adult', 'Recreation', 'Reference', 'Games'],['Adult']
13649,['Science', 'Reference', 'Business', 'Health'],['Health']
57131,['Society', 'Games', 'Shopping', 'Sports'],['Society']
22928,['Adult', 'Sports', 'Recreation', 'Shopping'],['Adult']
14121,['Games', 'Adult', 'Sports', 'Society'],['Adult']
22210,['Science', 'Reference', 'Business', 'Health'],['Science', 'Business', 'Society']
46446,['Business', 'Science', 'Computers', 'Health'],['Business']
49474,['Business', 'Computers', 'Science', 'Sports'],['Business']
52476,['Computers', 'Science', 'Reference', 'Games'],['Science']
47699,['Society', 'Computers', 'Arts', 'Sports'],['Society']
4481,['Games', 'Society', 'Sports', 'Recreation'],['Games']
22284,['Games', 'Society', 'Recreation', 'Health'],['Science']
46348,['Reference', 'Science', 'Health', 'Computers'],['Science']
11034,['Games', 'Computers', 'Arts', 'Sports'],['Science']
32912,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
57723,['Society', 'Reference', 'Science', 'Computers'],['Society']
41079,['Society', 'Health', 'Science', 'Reference'],['Society']
20587,['Science', 'Reference', 'Computers', 'Health'],['Science']
28674,['Reference', 'Science', 'Health', 'Sports'],['Science']
12894,['Business', 'Science', 'Computers', 'Sports'],['Business']
54245,['Society', 'Adult', 'Shopping', 'Sports'],['Society']
28756,['Computers', 'Science', 'Business', 'Health'],['Science']
47330,['Science', 'Recreation', 'Games', 'Reference'],['Science']
25865,['Science', 'Reference', 'Health', 'Computers'],['Science']
53326,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
16683,['Science', 'Health', 'Reference', 'Business'],['Business']
15402,['Health', 'Science', 'Business', 'Reference'],['Science']
52497,['Adult', 'Recreation', 'Arts', 'Reference'],['Adult']
28841,['Adult', 'Society', 'Recreation', 'Games'],['Society']
15153,['Games', 'Recreation', 'Computers', 'Adult'],['Games']
39619,['Society', 'Sports', 'Recreation', 'Games'],['Society']
8316,['Adult', 'Shopping', 'Business', 'Science'],['Adult']
58567,['Games', 'Arts', 'Adult', 'Recreation'],['Games']
36779,['Adult', 'Society', 'Shopping', 'Sports'],['Adult']
13187,['Business', 'Science', 'Recreation', 'Reference'],['Business']
41514,['Computers', 'Recreation', 'Reference', 'Arts'],['Arts']
51002,['Business', 'Science', 'Recreation', 'Games'],['Society']
25738,['Science', 'Recreation', 'Reference', 'Games'],['Science']
41519,['Adult', 'Arts', 'Society', 'Sports'],['Adult']
15060,['Science', 'Reference', 'Computers', 'Recreation'],['Science']
20604,['Games', 'Sports', 'Shopping', 'Computers'],['Adult']
28443,['Health', 'Reference', 'Science', 'Recreation'],['Health']
21668,['Recreation', 'Games', 'Arts', 'Adult'],['Arts']
25910,['Science', 'Recreation', 'Games', 'Computers'],['Science']
44651,['Society', 'Sports', 'Shopping', 'Science'],['Business']
16376,['Science', 'Reference', 'Recreation', 'Health'],['Science']
5112,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
6935,['Science', 'Computers', 'Recreation', 'Reference'],['Science']
38661,['Health', 'Science', 'Reference', 'Recreation'],['Health']
12632,['Business', 'Science', 'Computers', 'Sports'],['Science']
28954,['Adult', 'Arts', 'Recreation', 'Games'],['Arts', 'Business']
24013,['Arts', 'Recreation', 'Games', 'Computers'],['Arts']
44736,['Reference', 'Science', 'Computers', 'Health'],['Business']
15819,['Business', 'Computers', 'Health', 'Science'],['Science']
7167,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
7607,['Society', 'Games', 'Shopping', 'Sports'],['Society']
29614,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
3510,['Business', 'Science', 'Computers', 'Sports'],['Science']
35394,['Adult', 'Society', 'Health', 'Sports'],['Adult']
29348,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
25431,['Science', 'Society', 'Reference', 'Health'],['Society']
53723,['Games', 'Sports', 'Society', 'Shopping'],['Games']
23655,['Health', 'Science', 'Recreation', 'Reference'],['Health']
54147,['Health', 'Science', 'Reference', 'Computers'],['Health']
4967,['Business', 'Science', 'Computers', 'Society'],['Science']
12541,['Society', 'Health', 'Shopping', 'Business'],['Society']
35836,['Sports', 'Shopping', 'Games', 'Society'],['Games']
42352,['Adult', 'Society', 'Arts', 'Sports'],['Adult']
47686,['Sports', 'Adult', 'Shopping', 'Society'],['Adult']
52399,['Adult', 'Society', 'Sports', 'Recreation'],['Adult']
10659,['Sports', 'Games', 'Society', 'Computers'],['Games']
46506,['Games', 'Sports', 'Computers', 'Society'],['Games']
