47238, predicted: Shopping, actual: Arts
47311, predicted: Recreation, actual: Arts
47549, predicted: Home, actual: Arts
49552, predicted: Recreation, actual: Business
49559, predicted: Arts, actual: Business
49564, predicted: Society, actual: Business
49587, predicted: Shopping, actual: Business
49600, predicted: Shopping, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Business, actual: Computers
52683, predicted: Recreation, actual: Computers
52707, predicted: Recreation, actual: Computers
52729, predicted: Recreation, actual: Computers
52733, predicted: Business, actual: Computers
52780, predicted: Recreation, actual: Computers
52789, predicted: Recreation, actual: Computers
52830, predicted: Games, actual: Computers
52837, predicted: Games, actual: Computers
58235, predicted: Games, actual: Science
45211, predicted: Arts, actual: Adult
45627, predicted: Society, actual: Arts
46221, predicted: Sports, actual: Arts
46425, predicted: Business, actual: Arts
46930, predicted: Business, actual: Arts
48168, predicted: Arts, actual: Business
48187, predicted: Recreation, actual: Business
48208, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48432, predicted: Shopping, actual: Business
48440, predicted: Sports, actual: Business
48473, predicted: Arts, actual: Business
48522, predicted: Business, actual: Regional
48557, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48613, predicted: Arts, actual: Business
48657, predicted: Science, actual: Business
48664, predicted: Computers, actual: Business
48731, predicted: Home, actual: Business
48753, predicted: Shopping, actual: Business
48871, predicted: Kids, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Society, actual: Business
49151, predicted: Arts, actual: Business
49213, predicted: Shopping, actual: Business
49229, predicted: Arts, actual: Business
49253, predicted: Society, actual: Business
49260, predicted: Shopping, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Health, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Arts, actual: Business
49422, predicted: Arts, actual: Business
49490, predicted: Shopping, actual: Business
49515, predicted: Computers, actual: Business
