47238, predicted: News, actual: Arts
47293, predicted: News, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Science, actual: Business
52669, predicted: Arts, actual: Computers
45211, predicted: Arts, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Reference, actual: Arts
45627, predicted: Science, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Kids, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48445, predicted: Computers, actual: Business
48473, predicted: Computers, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48585, predicted: Computers, actual: Business
48664, predicted: Health, actual: Business
48731, predicted: Society, actual: Business
48792, predicted: Computers, actual: Business
48877, predicted: Society, actual: Business
49006, predicted: Home, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Society, actual: Business
49128, predicted: Home, actual: Business
49253, predicted: Society, actual: Business
49346, predicted: Society, actual: Business
49368, predicted: Society, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51614, predicted: Society, actual: Computers
51694, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
52280, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
52593, predicted: Reference, actual: Computers
4053, predicted: Society, actual: Arts
37132, predicted: Regional, actual: Society
37919, predicted: News, actual: Society
37932, predicted: Reference, actual: Society
40472, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43681, predicted: News, actual: Business
43729, predicted: Regional, actual: Business
43901, predicted: Games, actual: Kids
43935, predicted: Arts, actual: Games
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Regional, actual: Home
44136, predicted: Arts, actual: Society
44138, predicted: Business, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Recreation, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Regional, actual: News
44273, predicted: Regional, actual: News
44316, predicted: Regional, actual: Recreation
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Home, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Home, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44463, predicted: Arts, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44558, predicted: Society, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Regional, actual: Shopping
44681, predicted: Arts, actual: Society
44838, predicted: Recreation, actual: Sports
45148, predicted: Society, actual: Adult
45181, predicted: Shopping, actual: Adult
45237, predicted: Society, actual: Adult
45413, predicted: Society, actual: Adult
45548, predicted: Computers, actual: Arts
45595, predicted: Reference, actual: Arts
45605, predicted: Reference, actual: Arts
45615, predicted: Society, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Reference, actual: Arts
45899, predicted: Reference, actual: Arts
45902, predicted: Computers, actual: Arts
45926, predicted: Reference, actual: Arts
45987, predicted: Home, actual: Kids
46057, predicted: Sports, actual: Arts
46071, predicted: Shopping, actual: Arts
46101, predicted: Home, actual: Arts
46127, predicted: Home, actual: Arts
46203, predicted: Home, actual: Arts
46220, predicted: Home, actual: Arts
46283, predicted: Science, actual: Arts
46300, predicted: Games, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Reference, actual: Arts
46361, predicted: Reference, actual: Arts
46376, predicted: Reference, actual: Arts
46407, predicted: Reference, actual: Arts
46419, predicted: Reference, actual: Arts
46423, predicted: Society, actual: Arts
46439, predicted: Business, actual: Arts
46462, predicted: Games, actual: Arts
46500, predicted: Sports, actual: Arts
46544, predicted: Arts, actual: Games
46549, predicted: Society, actual: Arts
46587, predicted: Games, actual: Arts
46620, predicted: Society, actual: Arts
46684, predicted: Society, actual: Arts
46691, predicted: Kids, actual: Arts
