52866, predicted: Sports, actual: Games
47293, predicted: News, actual: Arts
47311, predicted: Science, actual: Arts
47365, predicted: Reference, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49587, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Games, actual: Business
49714, predicted: Arts, actual: Business
52669, predicted: Business, actual: Computers
52780, predicted: Business, actual: Computers
52789, predicted: Sports, actual: Computers
58235, predicted: Kids, actual: Science
45211, predicted: Shopping, actual: Adult
45276, predicted: Society, actual: Adult
45627, predicted: Recreation, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Reference, actual: Arts
46887, predicted: Recreation, actual: Arts
48208, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Computers, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Adult, actual: Business
48440, predicted: Science, actual: Business
48506, predicted: Reference, actual: Business
48522, predicted: Business, actual: Regional
48532, predicted: Computers, actual: Business
48872, predicted: Society, actual: Business
49021, predicted: Business, actual: Science
49043, predicted: Health, actual: Business
49128, predicted: Shopping, actual: Business
49253, predicted: Society, actual: Business
49271, predicted: Adult, actual: Business
49346, predicted: Computers, actual: Business
49358, predicted: Science, actual: Business
49390, predicted: Computers, actual: Business
49545, predicted: Health, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Arts, actual: Computers
51665, predicted: Business, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
51923, predicted: Business, actual: Computers
52250, predicted: Adult, actual: Computers
52280, predicted: Shopping, actual: Computers
52337, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
4053, predicted: Computers, actual: Arts
37132, predicted: Sports, actual: Society
37350, predicted: Computers, actual: Society
38330, predicted: Reference, actual: Sports
39656, predicted: Computers, actual: Sports
39729, predicted: Business, actual: Sports
40260, predicted: Society, actual: Sports
40429, predicted: Society, actual: Sports
40472, predicted: Business, actual: Sports
41486, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43729, predicted: Society, actual: Business
43901, predicted: Reference, actual: Kids
43909, predicted: Computers, actual: Games
43935, predicted: Computers, actual: Games
44105, predicted: Business, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Business, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Health, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Computers, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Business, actual: News
44297, predicted: Kids, actual: News
44302, predicted: News, actual: Regional
