49773, predicted: Business, actual: Business
47293, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49552, predicted: Business, actual: Business
49564, predicted: Business, actual: Business
49574, predicted: Business, actual: Business
49600, predicted: Business, actual: Business
49619, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52707, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52729, predicted: Computers, actual: Computers
52733, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
52858, predicted: Games, actual: Games
45211, predicted: Adult, actual: Adult
45832, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48168, predicted: Business, actual: Business
48252, predicted: Business, actual: Business
48330, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48473, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48731, predicted: Business, actual: Business
48753, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48792, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48872, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48960, predicted: Business, actual: Business
49006, predicted: Business, actual: Business
49022, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49151, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49253, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49422, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
51614, predicted: Computers, actual: Computers
51694, predicted: Computers, actual: Computers
51743, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51828, predicted: Computers, actual: Computers
51947, predicted: Computers, actual: Computers
52060, predicted: Computers, actual: Computers
52069, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52147, predicted: Computers, actual: Computers
52250, predicted: Computers, actual: Computers
52280, predicted: Computers, actual: Computers
52405, predicted: Computers, actual: Computers
52427, predicted: Computers, actual: Computers
52449, predicted: Computers, actual: Computers
52457, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52580, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
37290, predicted: Society, actual: Society
37517, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38304, predicted: Sports, actual: Sports
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38436, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38803, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
