52866, predicted: Computers, actual: Games
47238, predicted: Society, actual: Arts
47311, predicted: Games, actual: Arts
47365, predicted: Home, actual: Arts
47459, predicted: Shopping, actual: Arts
49559, predicted: Arts, actual: Business
49568, predicted: Computers, actual: Business
49587, predicted: Recreation, actual: Business
49667, predicted: Shopping, actual: Business
49697, predicted: Computers, actual: Business
49701, predicted: Computers, actual: Business
49714, predicted: Kids, actual: Business
52669, predicted: Shopping, actual: Computers
52683, predicted: Games, actual: Computers
52749, predicted: Health, actual: Computers
52780, predicted: Society, actual: Computers
52789, predicted: Sports, actual: Computers
52830, predicted: Games, actual: Computers
52837, predicted: Games, actual: Computers
58235, predicted: Kids, actual: Science
45276, predicted: Games, actual: Adult
45409, predicted: Shopping, actual: Adult
45541, predicted: Business, actual: Arts
45627, predicted: Shopping, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Sports, actual: Arts
46041, predicted: Society, actual: Arts
46221, predicted: Shopping, actual: Arts
46320, predicted: Health, actual: Arts
46425, predicted: Health, actual: Arts
46510, predicted: Society, actual: Arts
46887, predicted: Society, actual: Arts
46930, predicted: Shopping, actual: Arts
47118, predicted: Computers, actual: Arts
48187, predicted: Society, actual: Business
48208, predicted: Sports, actual: Business
48223, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48267, predicted: Shopping, actual: Business
48282, predicted: Shopping, actual: Business
48323, predicted: Society, actual: Business
48440, predicted: Society, actual: Business
48445, predicted: Computers, actual: Business
48507, predicted: Society, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48532, predicted: Science, actual: Business
48557, predicted: Games, actual: Business
48566, predicted: Society, actual: Business
48585, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Reference, actual: Business
48613, predicted: Arts, actual: Business
48630, predicted: Reference, actual: Business
48657, predicted: Reference, actual: Business
48789, predicted: Computers, actual: Business
48871, predicted: Society, actual: Business
48915, predicted: Society, actual: Business
49021, predicted: Business, actual: Science
49024, predicted: Health, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Computers, actual: Business
49091, predicted: Recreation, actual: Business
49101, predicted: Shopping, actual: Business
49128, predicted: Shopping, actual: Business
49229, predicted: Computers, actual: Business
49260, predicted: Society, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Recreation, actual: Business
49358, predicted: Computers, actual: Business
49368, predicted: Recreation, actual: Business
49435, predicted: Home, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Shopping, actual: Computers
51555, predicted: Kids, actual: Computers
51590, predicted: Society, actual: Computers
51647, predicted: Games, actual: Computers
51665, predicted: Shopping, actual: Computers
51691, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51829, predicted: Shopping, actual: Computers
51923, predicted: Society, actual: Computers
51959, predicted: Games, actual: Computers
52169, predicted: Business, actual: Computers
52334, predicted: Sports, actual: Computers
52337, predicted: Society, actual: Computers
52374, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52514, predicted: Shopping, actual: Computers
52564, predicted: Health, actual: Computers
52650, predicted: Recreation, actual: Computers
58230, predicted: Arts, actual: Science
4053, predicted: Adult, actual: Arts
37132, predicted: Computers, actual: Society
37301, predicted: Shopping, actual: Society
37350, predicted: Kids, actual: Society
37919, predicted: Business, actual: Society
37932, predicted: Computers, actual: Society
38674, predicted: Shopping, actual: Sports
39656, predicted: Arts, actual: Sports
39729, predicted: Games, actual: Sports
41250, predicted: Shopping, actual: Sports
41643, predicted: Shopping, actual: Sports
42707, predicted: Shopping, actual: Sports
42811, predicted: Computers, actual: Sports
42914, predicted: Kids, actual: Sports
42998, predicted: Arts, actual: Sports
43122, predicted: Recreation, actual: Sports
43170, predicted: Shopping, actual: Sports
43400, predicted: Kids, actual: Regional
43412, predicted: Computers, actual: Adult
43533, predicted: Shopping, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Business, actual: Games
43935, predicted: Arts, actual: Games
44033, predicted: Arts, actual: Health
44105, predicted: Home, actual: Regional
44106, predicted: Arts, actual: Home
44131, predicted: Shopping, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Shopping, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44146, predicted: Society, actual: Home
44161, predicted: Home, actual: Regional
44171, predicted: Computers, actual: Home
44173, predicted: Computers, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Arts, actual: News
44290, predicted: News, actual: Business
44297, predicted: Business, actual: News
44302, predicted: News, actual: Regional
44315, predicted: Computers, actual: Recreation
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Reference, actual: Recreation
44340, predicted: Recreation, actual: Science
44378, predicted: Adult, actual: Recreation
44399, predicted: Computers, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Recreation, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Computers, actual: Reference
44441, predicted: Computers, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Health, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44506, predicted: Computers, actual: Regional
44539, predicted: Society, actual: Science
44556, predicted: Shopping, actual: Science
44558, predicted: Home, actual: Science
44561, predicted: News, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Computers, actual: Shopping
44807, predicted: Society, actual: Sports
44835, predicted: Regional, actual: Sports
44838, predicted: Health, actual: Sports
44875, predicted: Sports, actual: Adult
45148, predicted: Arts, actual: Adult
45181, predicted: Society, actual: Adult
45222, predicted: Kids, actual: Adult
45237, predicted: Shopping, actual: Adult
45351, predicted: Society, actual: Adult
45362, predicted: Computers, actual: Adult
45389, predicted: Society, actual: Adult
45413, predicted: Health, actual: Adult
45497, predicted: Computers, actual: Arts
45528, predicted: Home, actual: Arts
45548, predicted: Health, actual: Arts
45559, predicted: Recreation, actual: Arts
45595, predicted: Sports, actual: Arts
45605, predicted: Business, actual: Arts
45615, predicted: Games, actual: Arts
