52866, predicted: Shopping, actual: Games
47238, predicted: Sports, actual: Arts
47311, predicted: Society, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Shopping, actual: Business
49714, predicted: Computers, actual: Business
52669, predicted: Business, actual: Computers
52749, predicted: Business, actual: Computers
52858, predicted: Computers, actual: Games
58235, predicted: Computers, actual: Science
45211, predicted: Shopping, actual: Adult
45627, predicted: Business, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46041, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
48208, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Health, actual: Business
48445, predicted: Computers, actual: Business
48507, predicted: Sports, actual: Business
48522, predicted: Business, actual: Regional
48557, predicted: Computers, actual: Business
48597, predicted: Computers, actual: Business
48731, predicted: Home, actual: Business
48753, predicted: Computers, actual: Business
48792, predicted: Computers, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49037, predicted: Science, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Recreation, actual: Business
49253, predicted: Recreation, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51665, predicted: Business, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
51923, predicted: Society, actual: Computers
52280, predicted: Shopping, actual: Computers
52414, predicted: Business, actual: Computers
52564, predicted: Business, actual: Computers
4053, predicted: News, actual: Arts
37132, predicted: Recreation, actual: Society
39656, predicted: Business, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Society, actual: Regional
43681, predicted: News, actual: Business
43729, predicted: Society, actual: Business
43901, predicted: Computers, actual: Kids
43909, predicted: Computers, actual: Games
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Business, actual: Home
44138, predicted: Business, actual: Home
44145, predicted: Business, actual: Home
44146, predicted: Society, actual: Home
44161, predicted: Health, actual: Regional
44171, predicted: Shopping, actual: Home
44173, predicted: Business, actual: Home
44175, predicted: Sports, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Society, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44297, predicted: Society, actual: News
44316, predicted: Business, actual: Recreation
44318, predicted: Business, actual: Regional
44327, predicted: Business, actual: Regional
44340, predicted: Society, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Home, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44455, predicted: Society, actual: Reference
44457, predicted: Society, actual: Reference
44463, predicted: Business, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: News, actual: Regional
44539, predicted: Business, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Arts, actual: Science
44598, predicted: Society, actual: Science
