52866, predicted: Recreation, actual: Games
47238, predicted: Kids, actual: Arts
47459, predicted: Computers, actual: Arts
47549, predicted: Society, actual: Arts
49552, predicted: Shopping, actual: Business
49559, predicted: Society, actual: Business
49564, predicted: Society, actual: Business
49568, predicted: Computers, actual: Business
49600, predicted: Health, actual: Business
49619, predicted: Society, actual: Business
49667, predicted: Shopping, actual: Business
49714, predicted: Shopping, actual: Business
52669, predicted: Shopping, actual: Computers
52683, predicted: Arts, actual: Computers
52729, predicted: Business, actual: Computers
52789, predicted: Sports, actual: Computers
52830, predicted: Society, actual: Computers
52837, predicted: Shopping, actual: Computers
52858, predicted: Computers, actual: Games
58235, predicted: Computers, actual: Science
45211, predicted: Shopping, actual: Adult
45276, predicted: Computers, actual: Adult
45627, predicted: Society, actual: Arts
45832, predicted: Society, actual: Arts
46041, predicted: Society, actual: Arts
46221, predicted: Sports, actual: Arts
46320, predicted: Business, actual: Arts
46425, predicted: Health, actual: Arts
46887, predicted: Society, actual: Arts
47118, predicted: Business, actual: Arts
48187, predicted: Sports, actual: Business
48208, predicted: Shopping, actual: Business
48223, predicted: Shopping, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48282, predicted: Shopping, actual: Business
48330, predicted: Sports, actual: Business
48506, predicted: Shopping, actual: Business
48507, predicted: Recreation, actual: Business
48522, predicted: Business, actual: Regional
48591, predicted: Business, actual: Shopping
48657, predicted: Computers, actual: Business
48664, predicted: Health, actual: Business
48753, predicted: Shopping, actual: Business
48871, predicted: Health, actual: Business
49021, predicted: Business, actual: Science
49037, predicted: Health, actual: Business
49043, predicted: Health, actual: Business
49128, predicted: Shopping, actual: Business
49213, predicted: Adult, actual: Business
49230, predicted: Shopping, actual: Business
49260, predicted: Shopping, actual: Business
49422, predicted: Arts, actual: Business
49435, predicted: Home, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Shopping, actual: Computers
51555, predicted: Shopping, actual: Computers
51665, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51829, predicted: Business, actual: Computers
51923, predicted: Business, actual: Computers
51959, predicted: Society, actual: Computers
52169, predicted: Adult, actual: Computers
52280, predicted: Business, actual: Computers
52337, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52449, predicted: Shopping, actual: Computers
52457, predicted: Society, actual: Computers
52564, predicted: Health, actual: Computers
58230, predicted: Recreation, actual: Science
4053, predicted: Health, actual: Arts
37132, predicted: Arts, actual: Society
37350, predicted: Computers, actual: Society
37932, predicted: Business, actual: Society
39604, predicted: Society, actual: Sports
39656, predicted: Health, actual: Sports
40472, predicted: Shopping, actual: Sports
41250, predicted: Shopping, actual: Sports
41643, predicted: Business, actual: Sports
43170, predicted: Arts, actual: Sports
43681, predicted: Regional, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Business, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Society, actual: Games
43935, predicted: Arts, actual: Games
44105, predicted: Home, actual: Regional
44106, predicted: Health, actual: Home
44131, predicted: Shopping, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Shopping, actual: Home
44175, predicted: Shopping, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Arts, actual: News
44290, predicted: News, actual: Business
44297, predicted: Business, actual: News
44302, predicted: News, actual: Regional
44315, predicted: Business, actual: Recreation
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Society, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44378, predicted: Society, actual: Recreation
44399, predicted: Arts, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Arts, actual: Reference
44441, predicted: Society, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Health, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44496, predicted: Computers, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Arts, actual: Regional
44539, predicted: Computers, actual: Science
44553, predicted: Arts, actual: Science
44556, predicted: Health, actual: Science
44558, predicted: Shopping, actual: Science
44561, predicted: Society, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Health, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Computers, actual: Shopping
44784, predicted: Business, actual: Sports
44934, predicted: Society, actual: Adult
44990, predicted: Arts, actual: Adult
45222, predicted: Shopping, actual: Adult
45237, predicted: Arts, actual: Adult
45250, predicted: Society, actual: Adult
45413, predicted: Society, actual: Adult
45548, predicted: Games, actual: Arts
45595, predicted: Recreation, actual: Arts
45605, predicted: Computers, actual: Arts
45615, predicted: Society, actual: Arts
45758, predicted: Health, actual: Arts
45830, predicted: Sports, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Computers, actual: Arts
45899, predicted: Society, actual: Arts
45902, predicted: Computers, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Society, actual: Arts
46032, predicted: Business, actual: Arts
46071, predicted: Shopping, actual: Arts
46073, predicted: Home, actual: Arts
46077, predicted: Home, actual: Arts
46100, predicted: Society, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Business, actual: Arts
46171, predicted: Business, actual: Arts
46191, predicted: Society, actual: Arts
46283, predicted: Computers, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Society, actual: Arts
46352, predicted: Business, actual: Arts
46358, predicted: Society, actual: Arts
46376, predicted: Adult, actual: Arts
46407, predicted: Health, actual: Arts
46419, predicted: Sports, actual: Arts
46423, predicted: Society, actual: Arts
46439, predicted: Kids, actual: Arts
46451, predicted: Society, actual: Arts
46462, predicted: Business, actual: Arts
46463, predicted: Sports, actual: Arts
46507, predicted: Home, actual: Arts
46529, predicted: Games, actual: Arts
46544, predicted: Arts, actual: Games
46587, predicted: Shopping, actual: Arts
46620, predicted: Sports, actual: Arts
46684, predicted: Sports, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Health, actual: Arts
46725, predicted: Society, actual: Arts
46745, predicted: Sports, actual: Arts
46754, predicted: Sports, actual: Arts
46765, predicted: Business, actual: Arts
46778, predicted: Society, actual: Arts
46781, predicted: Society, actual: Arts
46815, predicted: Health, actual: Arts
46820, predicted: Business, actual: Arts
46839, predicted: Society, actual: Arts
46849, predicted: Recreation, actual: Arts
46894, predicted: Sports, actual: Arts
46918, predicted: Home, actual: Arts
46934, predicted: Society, actual: Arts
46964, predicted: Health, actual: Arts
47035, predicted: Shopping, actual: Arts
47047, predicted: Health, actual: Arts
47077, predicted: Shopping, actual: Arts
47100, predicted: Arts, actual: Shopping
47160, predicted: Sports, actual: Arts
47213, predicted: Recreation, actual: Arts
47223, predicted: Sports, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Sports, actual: Arts
47375, predicted: Society, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Computers, actual: Arts
47397, predicted: Shopping, actual: Arts
47407, predicted: Computers, actual: Arts
47420, predicted: Business, actual: Arts
47435, predicted: Health, actual: Arts
47441, predicted: Computers, actual: Arts
47446, predicted: Shopping, actual: Arts
47451, predicted: Sports, actual: Arts
47476, predicted: Recreation, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Computers, actual: Arts
47507, predicted: Computers, actual: Arts
47521, predicted: Business, actual: Arts
47523, predicted: Society, actual: Arts
47529, predicted: Sports, actual: Arts
47530, predicted: Society, actual: Arts
47559, predicted: Adult, actual: Arts
47575, predicted: Sports, actual: Arts
47592, predicted: Business, actual: Arts
47686, predicted: Business, actual: Society
47722, predicted: Shopping, actual: Business
47731, predicted: Arts, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47773, predicted: Shopping, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Society, actual: Business
47818, predicted: Health, actual: Business
47825, predicted: Shopping, actual: Business
47860, predicted: Arts, actual: Business
47861, predicted: Computers, actual: Business
47885, predicted: Shopping, actual: Business
47893, predicted: Business, actual: Shopping
47916, predicted: Health, actual: Business
47963, predicted: Sports, actual: Business
47965, predicted: Shopping, actual: Business
48029, predicted: Society, actual: Business
48050, predicted: Business, actual: Society
48081, predicted: Health, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48246, predicted: Shopping, actual: Business
48248, predicted: Shopping, actual: Business
49773, predicted: Shopping, actual: Business
52866, predicted: Society, actual: Business
47293, predicted: Computers, actual: Business
47365, predicted: Health, actual: Business
47549, predicted: Arts, actual: Business
49552, predicted: Computers, actual: Business
49559, predicted: Society, actual: Business
49574, predicted: Recreation, actual: Business
49587, predicted: Business, actual: Recreation
49619, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Shopping, actual: Business
52720, predicted: Computers, actual: Business
52729, predicted: Health, actual: Business
52733, predicted: Health, actual: Business
58235, predicted: Science, actual: Business
45211, predicted: Society, actual: Business
45409, predicted: Business, actual: Computers
45627, predicted: Society, actual: Business
46320, predicted: Society, actual: Business
46425, predicted: Shopping, actual: Business
46930, predicted: Shopping, actual: Business
48141, predicted: Computers, actual: Business
48168, predicted: Arts, actual: Business
48208, predicted: Computers, actual: Business
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48323, predicted: Shopping, actual: Business
48366, predicted: Society, actual: Business
48432, predicted: Shopping, actual: Business
48440, predicted: Business, actual: Computers
48445, predicted: Business, actual: Computers
48473, predicted: Society, actual: Computers
48506, predicted: Sports, actual: Computers
48519, predicted: Health, actual: Computers
48522, predicted: Society, actual: Computers
48557, predicted: Business, actual: Computers
48585, predicted: Shopping, actual: Computers
48589, predicted: Business, actual: Computers
48597, predicted: Shopping, actual: Computers
48630, predicted: Business, actual: Computers
48657, predicted: Recreation, actual: Computers
48664, predicted: Business, actual: Computers
48717, predicted: Business, actual: Computers
48724, predicted: Society, actual: Computers
48731, predicted: Business, actual: Computers
48753, predicted: Business, actual: Computers
48772, predicted: Computers, actual: Science
48789, predicted: Business, actual: Computers
48792, predicted: Society, actual: Computers
48871, predicted: Kids, actual: Computers
48877, predicted: Business, actual: Computers
48915, predicted: Shopping, actual: Computers
49006, predicted: Business, actual: Computers
49021, predicted: Society, actual: Computers
49022, predicted: Business, actual: Computers
49024, predicted: Society, actual: Computers
49037, predicted: Arts, actual: Computers
49043, predicted: Society, actual: Computers
49075, predicted: Arts, actual: Computers
49091, predicted: Shopping, actual: Recreation
49101, predicted: Society, actual: Recreation
49128, predicted: Arts, actual: Recreation
49151, predicted: Sports, actual: Recreation
49229, predicted: Health, actual: Recreation
49230, predicted: Business, actual: Reference
49253, predicted: Business, actual: Reference
49271, predicted: Science, actual: Regional
49346, predicted: Games, actual: Regional
49362, predicted: Business, actual: Science
49390, predicted: Business, actual: Computers
