52866, predicted: Arts, actual: Games
47238, predicted: News, actual: Arts
47311, predicted: News, actual: Arts
47365, predicted: Sports, actual: Arts
47459, predicted: News, actual: Arts
47549, predicted: Computers, actual: Arts
49552, predicted: Computers, actual: Business
49559, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49600, predicted: Sports, actual: Business
49619, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
49714, predicted: Computers, actual: Business
52669, predicted: Arts, actual: Computers
52749, predicted: Business, actual: Computers
52780, predicted: Sports, actual: Computers
52789, predicted: Sports, actual: Computers
58235, predicted: Reference, actual: Science
45211, predicted: Sports, actual: Adult
45276, predicted: Business, actual: Adult
45627, predicted: Science, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46425, predicted: Computers, actual: Arts
46510, predicted: Society, actual: Arts
46567, predicted: Sports, actual: Arts
46887, predicted: Computers, actual: Arts
46930, predicted: Shopping, actual: Arts
48208, predicted: Sports, actual: Business
48223, predicted: Computers, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Computers, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Health, actual: Business
48440, predicted: Health, actual: Business
48445, predicted: Computers, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48557, predicted: Computers, actual: Business
48585, predicted: Computers, actual: Business
48597, predicted: Computers, actual: Business
48613, predicted: Computers, actual: Business
48657, predicted: Society, actual: Business
48731, predicted: News, actual: Business
48753, predicted: Computers, actual: Business
48789, predicted: Computers, actual: Business
48871, predicted: News, actual: Business
48877, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49024, predicted: Health, actual: Business
49037, predicted: Society, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Sports, actual: Business
49128, predicted: Sports, actual: Business
49151, predicted: Computers, actual: Business
49229, predicted: Computers, actual: Business
49253, predicted: Games, actual: Business
49260, predicted: Arts, actual: Business
49271, predicted: Sports, actual: Business
49358, predicted: Computers, actual: Business
49368, predicted: Society, actual: Business
49390, predicted: Computers, actual: Business
49422, predicted: Computers, actual: Business
49545, predicted: Computers, actual: Business
51555, predicted: Shopping, actual: Computers
51590, predicted: Society, actual: Computers
51694, predicted: Sports, actual: Computers
52280, predicted: Shopping, actual: Computers
52564, predicted: Business, actual: Computers
4053, predicted: Computers, actual: Arts
37132, predicted: Sports, actual: Society
37350, predicted: Computers, actual: Society
39656, predicted: Computers, actual: Sports
40472, predicted: Shopping, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43681, predicted: News, actual: Business
43692, predicted: Sports, actual: Business
43729, predicted: Sports, actual: Business
43909, predicted: Sports, actual: Games
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Business, actual: Home
44136, predicted: Sports, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Business, actual: Home
44146, predicted: Society, actual: Home
44161, predicted: Kids, actual: Regional
44173, predicted: Regional, actual: Home
44175, predicted: Sports, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44302, predicted: News, actual: Regional
44315, predicted: Business, actual: Recreation
44327, predicted: Business, actual: Regional
44331, predicted: Kids, actual: Recreation
44339, predicted: Kids, actual: Recreation
44340, predicted: Arts, actual: Science
44376, predicted: Business, actual: Recreation
44378, predicted: Sports, actual: Recreation
44399, predicted: Regional, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Recreation, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Sports, actual: Reference
44441, predicted: Health, actual: Reference
44455, predicted: Society, actual: Reference
44457, predicted: Kids, actual: Reference
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: News, actual: Regional
44539, predicted: Business, actual: Science
44558, predicted: Computers, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: News, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Society, actual: Shopping
45148, predicted: Sports, actual: Adult
45181, predicted: Arts, actual: Adult
45237, predicted: Recreation, actual: Adult
45413, predicted: Society, actual: Adult
45548, predicted: Computers, actual: Arts
45595, predicted: Computers, actual: Arts
45615, predicted: Reference, actual: Arts
45668, predicted: Kids, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45896, predicted: Computers, actual: Arts
45902, predicted: Society, actual: Arts
45987, predicted: News, actual: Kids
45998, predicted: Society, actual: Arts
46032, predicted: Business, actual: Arts
46057, predicted: News, actual: Arts
46073, predicted: Sports, actual: Arts
46100, predicted: Society, actual: Arts
46101, predicted: Computers, actual: Arts
46127, predicted: Society, actual: Arts
46283, predicted: Sports, actual: Arts
46319, predicted: Society, actual: Arts
46358, predicted: Society, actual: Arts
46439, predicted: Society, actual: Arts
46451, predicted: Society, actual: Arts
46462, predicted: Computers, actual: Arts
46463, predicted: Sports, actual: Arts
46500, predicted: Sports, actual: Arts
46544, predicted: Arts, actual: Games
46549, predicted: Reference, actual: Arts
46566, predicted: Adult, actual: Arts
46620, predicted: Sports, actual: Arts
46684, predicted: Computers, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Kids, actual: Arts
46745, predicted: Sports, actual: Arts
46754, predicted: Sports, actual: Arts
46764, predicted: Society, actual: Arts
46774, predicted: Reference, actual: Arts
46778, predicted: Society, actual: Arts
46781, predicted: Computers, actual: Arts
46847, predicted: Sports, actual: Arts
46849, predicted: Sports, actual: Arts
46877, predicted: News, actual: Arts
46894, predicted: Sports, actual: Arts
46898, predicted: Computers, actual: Arts
46911, predicted: Sports, actual: Arts
46918, predicted: Shopping, actual: Arts
46934, predicted: Games, actual: Arts
46962, predicted: Games, actual: Arts
46964, predicted: Reference, actual: Arts
46979, predicted: Society, actual: Arts
47035, predicted: Adult, actual: Arts
47047, predicted: Sports, actual: Arts
47055, predicted: Kids, actual: Arts
47077, predicted: Society, actual: Arts
47100, predicted: Arts, actual: Shopping
47129, predicted: Sports, actual: Arts
47213, predicted: Computers, actual: Arts
47297, predicted: Computers, actual: Arts
47319, predicted: Sports, actual: Arts
47361, predicted: Sports, actual: Arts
47375, predicted: Society, actual: Arts
47385, predicted: Shopping, actual: Arts
47392, predicted: Sports, actual: Arts
47397, predicted: Computers, actual: Arts
47407, predicted: News, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Computers, actual: Arts
47451, predicted: Society, actual: Arts
47490, predicted: Sports, actual: Recreation
47507, predicted: Computers, actual: Arts
47517, predicted: Society, actual: Arts
47529, predicted: Society, actual: Arts
47559, predicted: Computers, actual: Arts
47664, predicted: Computers, actual: Business
47722, predicted: Society, actual: Business
47725, predicted: Recreation, actual: Business
47731, predicted: Science, actual: Business
47743, predicted: Computers, actual: Business
47749, predicted: Science, actual: Business
47762, predicted: Shopping, actual: Business
47773, predicted: Adult, actual: Business
47780, predicted: Sports, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Sports, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Recreation, actual: Business
47825, predicted: Shopping, actual: Business
47861, predicted: Sports, actual: Business
47885, predicted: Shopping, actual: Business
47891, predicted: Sports, actual: Business
47893, predicted: Business, actual: Shopping
47912, predicted: Science, actual: Business
47914, predicted: Science, actual: Business
48037, predicted: Science, actual: Business
48050, predicted: Business, actual: Society
48057, predicted: Computers, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Computers, actual: Business
48246, predicted: Sports, actual: Business
48248, predicted: Shopping, actual: Business
52866, predicted: Computers, actual: Business
47293, predicted: Computers, actual: Business
47311, predicted: Computers, actual: Business
47549, predicted: Health, actual: Business
49552, predicted: Society, actual: Business
49559, predicted: Reference, actual: Business
49564, predicted: Science, actual: Business
49587, predicted: Kids, actual: Recreation
49600, predicted: Sports, actual: Business
49619, predicted: Arts, actual: Business
49714, predicted: Arts, actual: Business
52683, predicted: Arts, actual: Business
52720, predicted: Computers, actual: Business
52729, predicted: Computers, actual: Business
52733, predicted: Sports, actual: Business
52749, predicted: Sports, actual: Business
52789, predicted: Sports, actual: Business
52830, predicted: Computers, actual: Business
52837, predicted: Health, actual: Business
58235, predicted: Arts, actual: Business
45211, predicted: Arts, actual: Business
45541, predicted: Computers, actual: Business
45627, predicted: Shopping, actual: Business
45832, predicted: Sports, actual: Business
45951, predicted: Computers, actual: Business
46320, predicted: Home, actual: Business
46425, predicted: Shopping, actual: Business
46510, predicted: Computers, actual: Business
47118, predicted: Adult, actual: Business
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48330, predicted: Recreation, actual: Business
48432, predicted: Games, actual: Business
48440, predicted: Adult, actual: Computers
48473, predicted: Society, actual: Computers
48589, predicted: Adult, actual: Computers
48657, predicted: Arts, actual: Computers
48664, predicted: Business, actual: Computers
48724, predicted: Sports, actual: Computers
48753, predicted: News, actual: Computers
48772, predicted: Computers, actual: Science
48915, predicted: Shopping, actual: Computers
49024, predicted: Sports, actual: Computers
49091, predicted: Adult, actual: Recreation
49101, predicted: Business, actual: Recreation
49151, predicted: Sports, actual: Recreation
49213, predicted: Sports, actual: Recreation
49229, predicted: Society, actual: Recreation
49230, predicted: Arts, actual: Reference
49271, predicted: Arts, actual: Regional
49346, predicted: Science, actual: Regional
49362, predicted: Society, actual: Science
49368, predicted: Sports, actual: Arts
49390, predicted: Shopping, actual: Computers
49408, predicted: Science, actual: Games
49422, predicted: Kids, actual: Health
49435, predicted: Society, actual: Health
49444, predicted: Business, actual: Health
49490, predicted: Reference, actual: Health
49515, predicted: Science, actual: Health
49545, predicted: Business, actual: Health
51614, predicted: Science, actual: Health
51665, predicted: News, actual: Health
51691, predicted: Recreation, actual: Home
51694, predicted: Business, actual: Society
51743, predicted: Kids, actual: Home
51795, predicted: Kids, actual: Home
51923, predicted: Arts, actual: Home
51947, predicted: Business, actual: Home
51959, predicted: Arts, actual: Kids
52060, predicted: Arts, actual: Kids
52069, predicted: Science, actual: Kids
52125, predicted: Recreation, actual: Kids
52147, predicted: Reference, actual: Kids
52250, predicted: Recreation, actual: Kids
52280, predicted: Recreation, actual: Kids
52334, predicted: Science, actual: Kids
52337, predicted: Kids, actual: Sports
52374, predicted: Business, actual: Kids
52414, predicted: Society, actual: Kids
52427, predicted: Sports, actual: News
52534, predicted: Computers, actual: News
52564, predicted: Reference, actual: News
37132, predicted: Computers, actual: Society
37290, predicted: Health, actual: News
37517, predicted: Regional, actual: News
37932, predicted: Science, actual: News
38254, predicted: Recreation, actual: News
38330, predicted: Sports, actual: News
38436, predicted: Sports, actual: News
38447, predicted: Science, actual: News
38466, predicted: Science, actual: News
38674, predicted: Kids, actual: News
38803, predicted: Computers, actual: News
38868, predicted: Computers, actual: News
39604, predicted: Science, actual: News
39656, predicted: Science, actual: News
40260, predicted: Reference, actual: Recreation
40472, predicted: Arts, actual: Recreation
40625, predicted: Games, actual: Recreation
40765, predicted: Games, actual: Recreation
41250, predicted: Computers, actual: Recreation
41486, predicted: Computers, actual: Recreation
41642, predicted: Society, actual: Recreation
41643, predicted: Computers, actual: Recreation
42022, predicted: Regional, actual: Recreation
42553, predicted: Sports, actual: Recreation
42583, predicted: Society, actual: Recreation
42707, predicted: Games, actual: Recreation
42760, predicted: Sports, actual: Recreation
42998, predicted: Science, actual: Recreation
43122, predicted: Science, actual: Recreation
43142, predicted: Computers, actual: Recreation
43780, predicted: Society, actual: Recreation
44085, predicted: Science, actual: Recreation
44131, predicted: Society, actual: Recreation
44136, predicted: Arts, actual: Recreation
44144, predicted: Science, actual: Recreation
44146, predicted: Sports, actual: Recreation
44161, predicted: Society, actual: Recreation
44173, predicted: Sports, actual: Recreation
44175, predicted: Sports, actual: Recreation
44190, predicted: Society, actual: Recreation
44203, predicted: Computers, actual: Recreation
44273, predicted: Computers, actual: Recreation
44315, predicted: Arts, actual: Recreation
44401, predicted: Sports, actual: Recreation
44454, predicted: Arts, actual: Recreation
44455, predicted: Kids, actual: Recreation
44457, predicted: Business, actual: Recreation
44496, predicted: Science, actual: Recreation
44499, predicted: Shopping, actual: Recreation
44539, predicted: Health, actual: Recreation
44553, predicted: Science, actual: Recreation
44556, predicted: Science, actual: Recreation
44558, predicted: Science, actual: Recreation
44561, predicted: Science, actual: Recreation
44591, predicted: Regional, actual: Recreation
44598, predicted: Science, actual: Recreation
44632, predicted: Computers, actual: Recreation
44639, predicted: Science, actual: Recreation
44681, predicted: Society, actual: Recreation
44725, predicted: Reference, actual: Recreation
44784, predicted: Computers, actual: Recreation
44785, predicted: Shopping, actual: Recreation
44789, predicted: News, actual: Recreation
44807, predicted: Science, actual: Recreation
44835, predicted: Science, actual: Recreation
44838, predicted: News, actual: Recreation
44875, predicted: Science, actual: Recreation
44934, predicted: Games, actual: Recreation
44990, predicted: Kids, actual: Recreation
45081, predicted: Games, actual: Recreation
45148, predicted: Reference, actual: Recreation
45181, predicted: Kids, actual: Recreation
45219, predicted: Arts, actual: Recreation
45237, predicted: Society, actual: Recreation
45250, predicted: Society, actual: Recreation
45497, predicted: Business, actual: Recreation
45528, predicted: Games, actual: Recreation
45548, predicted: Science, actual: Recreation
45559, predicted: Science, actual: Recreation
45595, predicted: Arts, actual: Recreation
45605, predicted: Recreation, actual: Society
45615, predicted: Science, actual: Recreation
45647, predicted: Games, actual: Recreation
45680, predicted: Reference, actual: Society
45704, predicted: Science, actual: Recreation
45830, predicted: Society, actual: Recreation
45835, predicted: Shopping, actual: Recreation
45884, predicted: Shopping, actual: Recreation
45892, predicted: Science, actual: Recreation
45896, predicted: Games, actual: Recreation
45899, predicted: Computers, actual: Recreation
45926, predicted: Recreation, actual: Society
45935, predicted: Kids, actual: Recreation
45987, predicted: Business, actual: Recreation
45998, predicted: Business, actual: Recreation
46032, predicted: Business, actual: Recreation
46071, predicted: Science, actual: Recreation
46172, predicted: Recreation, actual: Society
46283, predicted: Business, actual: Recreation
46327, predicted: Arts, actual: Recreation
46352, predicted: Arts, actual: Recreation
46358, predicted: Arts, actual: Recreation
46361, predicted: Science, actual: Recreation
46407, predicted: Home, actual: Recreation
46419, predicted: Society, actual: Recreation
46439, predicted: Science, actual: Recreation
46462, predicted: Computers, actual: Recreation
46463, predicted: Society, actual: Recreation
46506, predicted: Science, actual: Recreation
46529, predicted: Science, actual: Recreation
46544, predicted: Kids, actual: Shopping
46587, predicted: Science, actual: Recreation
46590, predicted: Computers, actual: Recreation
46620, predicted: Kids, actual: Recreation
46640, predicted: Arts, actual: Recreation
46691, predicted: Science, actual: Recreation
46715, predicted: Games, actual: Recreation
46725, predicted: Computers, actual: Recreation
46745, predicted: Computers, actual: Recreation
46754, predicted: Science, actual: Recreation
46764, predicted: Computers, actual: Recreation
46765, predicted: Society, actual: Recreation
46774, predicted: Business, actual: Recreation
46778, predicted: Science, actual: Recreation
46781, predicted: Science, actual: Recreation
46790, predicted: Science, actual: Recreation
46820, predicted: Sports, actual: Recreation
46839, predicted: News, actual: Recreation
46847, predicted: News, actual: Recreation
46849, predicted: Business, actual: Recreation
46877, predicted: Regional, actual: Recreation
46911, predicted: Computers, actual: Recreation
46918, predicted: Sports, actual: Recreation
46979, predicted: Reference, actual: Recreation
47035, predicted: Sports, actual: Recreation
47042, predicted: Sports, actual: Recreation
47047, predicted: Computers, actual: Recreation
47055, predicted: Science, actual: Recreation
47077, predicted: Computers, actual: Recreation
47093, predicted: Games, actual: Recreation
47160, predicted: Science, actual: Recreation
47213, predicted: Business, actual: Recreation
47248, predicted: News, actual: Recreation
47263, predicted: Business, actual: Recreation
47361, predicted: Arts, actual: Reference
47385, predicted: Computers, actual: Society
47397, predicted: Science, actual: Reference
