52866, predicted: Kids, actual: Games
47238, predicted: Regional, actual: Arts
47293, predicted: News, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49587, predicted: Computers, actual: Business
49600, predicted: Society, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Science, actual: Business
49714, predicted: Computers, actual: Business
52669, predicted: Society, actual: Computers
58235, predicted: Reference, actual: Science
45211, predicted: Arts, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Reference, actual: Arts
45627, predicted: Science, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46221, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Business, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Recreation, actual: Business
48223, predicted: Society, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48440, predicted: Regional, actual: Business
48507, predicted: Kids, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48664, predicted: Health, actual: Business
48731, predicted: Society, actual: Business
48753, predicted: Science, actual: Business
48792, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Science, actual: Business
49101, predicted: Society, actual: Business
49128, predicted: Shopping, actual: Business
49253, predicted: Society, actual: Business
49346, predicted: Society, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Shopping, actual: Computers
51590, predicted: Society, actual: Computers
51614, predicted: Society, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
52280, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52564, predicted: Business, actual: Computers
52580, predicted: Science, actual: Computers
52593, predicted: Reference, actual: Computers
4053, predicted: Society, actual: Arts
37132, predicted: Recreation, actual: Society
37350, predicted: Arts, actual: Society
37932, predicted: Reference, actual: Society
40472, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43681, predicted: News, actual: Business
43729, predicted: Regional, actual: Business
43901, predicted: Computers, actual: Kids
43909, predicted: Arts, actual: Games
43935, predicted: Arts, actual: Games
44105, predicted: Society, actual: Regional
44131, predicted: Shopping, actual: Home
44136, predicted: Arts, actual: Society
44138, predicted: Shopping, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Society, actual: Home
44175, predicted: Recreation, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
