2674, predicted: Regional, actual: Regional
4096, predicted: Sports, actual: Sports
14399, predicted: Business, actual: Business
14535, predicted: Business, actual: Business
14539, predicted: Business, actual: Business
2145, predicted: Recreation, actual: Recreation
2162, predicted: Recreation, actual: Recreation
2188, predicted: Recreation, actual: Recreation
2198, predicted: Reference, actual: Reference
2287, predicted: Regional, actual: Regional
2344, predicted: Regional, actual: Regional
2399, predicted: Regional, actual: Regional
3472, predicted: Sports, actual: Sports
3505, predicted: Sports, actual: Sports
13554, predicted: Business, actual: Business
13649, predicted: Business, actual: Business
13677, predicted: Business, actual: Business
13698, predicted: Business, actual: Business
13845, predicted: Business, actual: Business
13874, predicted: Business, actual: Business
13915, predicted: Business, actual: Business
13929, predicted: Business, actual: Business
13931, predicted: Business, actual: Business
13941, predicted: Business, actual: Business
14115, predicted: Business, actual: Business
14130, predicted: Business, actual: Business
18580, predicted: Computers, actual: Computers
18592, predicted: Computers, actual: Computers
18601, predicted: Computers, actual: Computers
18624, predicted: Games, actual: Games
18702, predicted: Computers, actual: Computers
18798, predicted: Computers, actual: Computers
262, predicted: Business, actual: Business
280, predicted: Computers, actual: Computers
310, predicted: Games, actual: Games
330, predicted: Health, actual: Health
352, predicted: Business, actual: Business
414, predicted: News, actual: News
492, predicted: Regional, actual: Regional
497, predicted: Regional, actual: Regional
602, predicted: Recreation, actual: Recreation
853, predicted: Regional, actual: Regional
863, predicted: Regional, actual: Regional
1179, predicted: Science, actual: Science
1190, predicted: Science, actual: Science
1277, predicted: Science, actual: Science
1288, predicted: Science, actual: Science
1393, predicted: Shopping, actual: Shopping
1438, predicted: Shopping, actual: Shopping
1557, predicted: Society, actual: Society
1569, predicted: Society, actual: Society
1583, predicted: Society, actual: Society
1699, predicted: Society, actual: Society
1727, predicted: Sports, actual: Sports
1729, predicted: Sports, actual: Sports
1745, predicted: Sports, actual: Sports
1757, predicted: Sports, actual: Sports
1763, predicted: Sports, actual: Sports
1791, predicted: Sports, actual: Sports
1864, predicted: Science, actual: Science
2037, predicted: Business, actual: Business
3164, predicted: Society, actual: Society
3275, predicted: Society, actual: Society
3276, predicted: Society, actual: Society
3282, predicted: Society, actual: Society
3303, predicted: Sports, actual: Sports
3317, predicted: Sports, actual: Sports
3322, predicted: Sports, actual: Sports
3352, predicted: Sports, actual: Sports
3359, predicted: Sports, actual: Sports
3380, predicted: Sports, actual: Sports
3393, predicted: Sports, actual: Sports
3405, predicted: Sports, actual: Sports
3461, predicted: Sports, actual: Sports
6144, predicted: Shopping, actual: Shopping
6234, predicted: Society, actual: Society
6312, predicted: Sports, actual: Sports
6853, predicted: Adult, actual: Adult
7250, predicted: Adult, actual: Adult
7264, predicted: Adult, actual: Adult
7267, predicted: Adult, actual: Adult
20626, predicted: Computers, actual: Computers
20709, predicted: Computers, actual: Computers
20796, predicted: Computers, actual: Computers
20829, predicted: Computers, actual: Computers
5536, predicted: Home, actual: Home
6098, predicted: Shopping, actual: Shopping
6663, predicted: Adult, actual: Adult
6670, predicted: Adult, actual: Adult
7203, predicted: Adult, actual: Adult
19535, predicted: Computers, actual: Computers
19609, predicted: Computers, actual: Computers
19801, predicted: Computers, actual: Computers
19821, predicted: Computers, actual: Computers
19894, predicted: Science, actual: Science
20094, predicted: Computers, actual: Computers
20147, predicted: Computers, actual: Computers
20160, predicted: Computers, actual: Computers
20167, predicted: Computers, actual: Computers
20202, predicted: Computers, actual: Computers
20298, predicted: Computers, actual: Computers
20342, predicted: Computers, actual: Computers
20354, predicted: Computers, actual: Computers
20363, predicted: Computers, actual: Computers
20366, predicted: Computers, actual: Computers
20372, predicted: Computers, actual: Computers
20389, predicted: Computers, actual: Computers
20494, predicted: Computers, actual: Computers
20513, predicted: Computers, actual: Computers
20521, predicted: Computers, actual: Computers
3528, predicted: Sports, actual: Sports
3584, predicted: Sports, actual: Sports
3610, predicted: Sports, actual: Sports
3661, predicted: Sports, actual: Sports
3739, predicted: Science, actual: Science
3744, predicted: Shopping, actual: Shopping
3792, predicted: Sports, actual: Sports
3808, predicted: Sports, actual: Sports
3843, predicted: Sports, actual: Sports
3852, predicted: Sports, actual: Sports
3909, predicted: Sports, actual: Sports
3935, predicted: Sports, actual: Sports
3949, predicted: Sports, actual: Sports
3979, predicted: Sports, actual: Sports
4079, predicted: Sports, actual: Sports
4094, predicted: Sports, actual: Sports
4127, predicted: Sports, actual: Sports
