14578, predicted: Health, actual: Business
2541, predicted: Recreation, actual: Regional
2544, predicted: Arts, actual: Regional
2555, predicted: Computers, actual: Regional
2570, predicted: Arts, actual: Regional
2595, predicted: Health, actual: Regional
2608, predicted: Business, actual: Regional
2612, predicted: Business, actual: Regional
2620, predicted: Business, actual: Regional
2641, predicted: Kids, actual: Regional
2681, predicted: Business, actual: Regional
14305, predicted: Sports, actual: Business
14319, predicted: Sports, actual: Business
14352, predicted: Arts, actual: Business
14513, predicted: Sports, actual: Business
2187, predicted: Business, actual: Recreation
2220, predicted: Science, actual: Reference
2243, predicted: Computers, actual: Reference
2250, predicted: Science, actual: Reference
2261, predicted: Kids, actual: Regional
2276, predicted: Computers, actual: Regional
2304, predicted: Computers, actual: Regional
2325, predicted: Business, actual: Regional
2337, predicted: Recreation, actual: Regional
2354, predicted: Business, actual: Regional
2388, predicted: Business, actual: Regional
2396, predicted: Recreation, actual: Regional
2397, predicted: Sports, actual: Regional
2402, predicted: Recreation, actual: Regional
2405, predicted: Computers, actual: Regional
2409, predicted: Recreation, actual: Regional
2419, predicted: Society, actual: Regional
2424, predicted: Business, actual: Regional
2428, predicted: Recreation, actual: Regional
2453, predicted: Business, actual: Regional
2464, predicted: Home, actual: Regional
2509, predicted: Society, actual: Regional
2513, predicted: Arts, actual: Regional
2538, predicted: Business, actual: Regional
3512, predicted: Society, actual: Sports
3517, predicted: Shopping, actual: Sports
4086, predicted: Recreation, actual: Sports
13521, predicted: Shopping, actual: Business
13598, predicted: Shopping, actual: Business
13850, predicted: Computers, actual: Business
13863, predicted: Sports, actual: Business
13906, predicted: Shopping, actual: Business
14099, predicted: Health, actual: Business
14113, predicted: Shopping, actual: Business
14139, predicted: Adult, actual: Business
14227, predicted: Arts, actual: Business
14249, predicted: Computers, actual: Business
14284, predicted: Shopping, actual: Business
18576, predicted: Shopping, actual: Computers
18613, predicted: Business, actual: Computers
18883, predicted: Business, actual: Computers
18900, predicted: Business, actual: Computers
18920, predicted: News, actual: Computers
18922, predicted: Business, actual: Computers
18963, predicted: Shopping, actual: Computers
19057, predicted: Kids, actual: Computers
302, predicted: Business, actual: Computers
325, predicted: Business, actual: Health
334, predicted: Society, actual: Health
392, predicted: Business, actual: News
408, predicted: Business, actual: News
412, predicted: Business, actual: News
417, predicted: Arts, actual: News
461, predicted: Business, actual: Recreation
526, predicted: Computers, actual: News
535, predicted: Games, actual: News
543, predicted: Shopping, actual: News
558, predicted: Arts, actual: News
564, predicted: Business, actual: Recreation
591, predicted: Computers, actual: Recreation
607, predicted: Arts, actual: Recreation
608, predicted: Regional, actual: Recreation
703, predicted: Arts, actual: Reference
721, predicted: Shopping, actual: Reference
744, predicted: News, actual: Reference
748, predicted: Science, actual: Reference
779, predicted: Science, actual: Regional
805, predicted: Business, actual: Regional
814, predicted: Arts, actual: Regional
846, predicted: Sports, actual: Regional
849, predicted: Recreation, actual: Regional
914, predicted: Shopping, actual: Regional
919, predicted: Shopping, actual: Regional
928, predicted: Health, actual: Recreation
973, predicted: Business, actual: Regional
974, predicted: Business, actual: Regional
984, predicted: Science, actual: Regional
1002, predicted: Sports, actual: Regional
1076, predicted: Business, actual: Regional
1108, predicted: Computers, actual: Regional
1114, predicted: Arts, actual: Regional
1128, predicted: Science, actual: Regional
1145, predicted: Health, actual: Science
1160, predicted: Computers, actual: Science
1167, predicted: Health, actual: Science
1227, predicted: Sports, actual: Science
1268, predicted: Society, actual: Science
1269, predicted: Health, actual: Science
1328, predicted: Computers, actual: Science
1346, predicted: Computers, actual: Science
1362, predicted: Business, actual: Shopping
1394, predicted: Sports, actual: Shopping
1430, predicted: Business, actual: Shopping
1431, predicted: Business, actual: Shopping
1481, predicted: Health, actual: Society
1490, predicted: Business, actual: Society
1491, predicted: Home, actual: Society
1510, predicted: Games, actual: Society
1537, predicted: Health, actual: Society
1559, predicted: Sports, actual: Society
1570, predicted: Computers, actual: Society
1625, predicted: Computers, actual: Society
1633, predicted: Business, actual: Society
1650, predicted: Shopping, actual: Society
1670, predicted: Business, actual: Society
1771, predicted: Society, actual: Sports
1777, predicted: Arts, actual: Sports
1778, predicted: Shopping, actual: Sports
1807, predicted: Arts, actual: News
1828, predicted: Computers, actual: Recreation
1838, predicted: Business, actual: Recreation
1839, predicted: Shopping, actual: Recreation
1863, predicted: Arts, actual: Science
1869, predicted: Business, actual: Science
1875, predicted: Business, actual: Shopping
1887, predicted: Sports, actual: Shopping
1895, predicted: Society, actual: Shopping
1923, predicted: Sports, actual: Society
1950, predicted: Kids, actual: Society
1977, predicted: Business, actual: Sports
1982, predicted: Recreation, actual: Sports
1985, predicted: Computers, actual: Sports
1994, predicted: Arts, actual: Sports
2018, predicted: Regional, actual: Society
2035, predicted: Regional, actual: Business
2044, predicted: Business, actual: Computers
2048, predicted: Arts, actual: Computers
2128, predicted: Reference, actual: Recreation
2140, predicted: Regional, actual: Recreation
2159, predicted: Sports, actual: Recreation
3123, predicted: Shopping, actual: Society
3150, predicted: Shopping, actual: Society
3179, predicted: Computers, actual: Society
3194, predicted: Reference, actual: Society
3221, predicted: Sports, actual: Society
3226, predicted: Computers, actual: Society
3233, predicted: Computers, actual: Society
3245, predicted: Shopping, actual: Society
3263, predicted: Adult, actual: Society
3306, predicted: Business, actual: Sports
3346, predicted: Health, actual: Sports
3369, predicted: Computers, actual: Sports
3404, predicted: Shopping, actual: Sports
3416, predicted: Society, actual: Sports
3425, predicted: Business, actual: Sports
3951, predicted: Business, actual: Sports
21104, predicted: Shopping, actual: Computers
21028, predicted: Recreation, actual: Computers
21051, predicted: Society, actual: Computers
21063, predicted: Arts, actual: Computers
6208, predicted: Sports, actual: Society
6219, predicted: Adult, actual: Society
6225, predicted: Health, actual: Society
6238, predicted: Computers, actual: Society
6265, predicted: Society, actual: Adult
6269, predicted: Shopping, actual: Computers
6315, predicted: Games, actual: Sports
6783, predicted: Business, actual: Adult
6794, predicted: Shopping, actual: Adult
6802, predicted: Computers, actual: Adult
6804, predicted: Business, actual: Adult
6858, predicted: Arts, actual: Adult
6871, predicted: Science, actual: Adult
7239, predicted: Arts, actual: Adult
7249, predicted: News, actual: Adult
20637, predicted: Recreation, actual: Computers
20696, predicted: Shopping, actual: Computers
20774, predicted: Adult, actual: Computers
20806, predicted: Society, actual: Computers
20821, predicted: Business, actual: Computers
20889, predicted: Science, actual: Computers
20895, predicted: Business, actual: Computers
20936, predicted: Business, actual: Computers
20941, predicted: Health, actual: Computers
5502, predicted: Computers, actual: News
5530, predicted: Health, actual: Home
5577, predicted: Business, actual: Kids
5589, predicted: Computers, actual: Kids
5630, predicted: Arts, actual: News
5687, predicted: Arts, actual: Recreation
5776, predicted: News, actual: Reference
5835, predicted: Sports, actual: Arts
5902, predicted: Computers, actual: Science
5954, predicted: Arts, actual: Science
5961, predicted: Home, actual: Science
5981, predicted: Health, actual: Science
6029, predicted: Business, actual: Shopping
6044, predicted: Business, actual: Shopping
6103, predicted: Arts, actual: Shopping
6119, predicted: Society, actual: Shopping
6137, predicted: Recreation, actual: Shopping
6639, predicted: Arts, actual: Adult
6642, predicted: Computers, actual: Adult
6644, predicted: Shopping, actual: Adult
6655, predicted: Shopping, actual: Adult
6665, predicted: Sports, actual: Adult
7204, predicted: Shopping, actual: Adult
7205, predicted: Health, actual: Adult
19081, predicted: Arts, actual: Computers
19211, predicted: Arts, actual: Computers
19254, predicted: Recreation, actual: Computers
19334, predicted: Adult, actual: Computers
19399, predicted: Business, actual: Computers
19419, predicted: Shopping, actual: Computers
19437, predicted: Arts, actual: Computers
19460, predicted: Business, actual: Computers
19475, predicted: Games, actual: Computers
19515, predicted: Games, actual: Computers
19556, predicted: Health, actual: Computers
19597, predicted: Sports, actual: Computers
19608, predicted: Business, actual: Computers
19619, predicted: Business, actual: Computers
19625, predicted: Shopping, actual: Computers
19712, predicted: Kids, actual: Computers
19756, predicted: Health, actual: Computers
19786, predicted: Sports, actual: Computers
19822, predicted: Arts, actual: Computers
19824, predicted: Business, actual: Computers
19946, predicted: Recreation, actual: Computers
19979, predicted: Adult, actual: Computers
20112, predicted: Business, actual: Computers
20121, predicted: Adult, actual: Computers
20171, predicted: Recreation, actual: Computers
20236, predicted: Health, actual: Computers
20285, predicted: Games, actual: Computers
20371, predicted: Science, actual: Computers
20377, predicted: Reference, actual: Computers
20425, predicted: Arts, actual: Computers
20437, predicted: Kids, actual: Computers
