2674, predicted: Regional, actual: Regional
14305, predicted: Business, actual: Business
14352, predicted: Business, actual: Business
14399, predicted: Business, actual: Business
14535, predicted: Business, actual: Business
14539, predicted: Business, actual: Business
2145, predicted: Recreation, actual: Recreation
2162, predicted: Recreation, actual: Recreation
2198, predicted: Reference, actual: Reference
2337, predicted: Regional, actual: Regional
2399, predicted: Regional, actual: Regional
2402, predicted: Regional, actual: Regional
2409, predicted: Regional, actual: Regional
3472, predicted: Sports, actual: Sports
3505, predicted: Sports, actual: Sports
3512, predicted: Sports, actual: Sports
13598, predicted: Business, actual: Business
13649, predicted: Business, actual: Business
13698, predicted: Business, actual: Business
13845, predicted: Business, actual: Business
13850, predicted: Business, actual: Business
13874, predicted: Business, actual: Business
13906, predicted: Business, actual: Business
13931, predicted: Business, actual: Business
13941, predicted: Business, actual: Business
14099, predicted: Business, actual: Business
14115, predicted: Business, actual: Business
14249, predicted: Business, actual: Business
18601, predicted: Computers, actual: Computers
18624, predicted: Games, actual: Games
18702, predicted: Computers, actual: Computers
18798, predicted: Computers, actual: Computers
18883, predicted: Computers, actual: Computers
262, predicted: Business, actual: Business
280, predicted: Computers, actual: Computers
334, predicted: Health, actual: Health
352, predicted: Business, actual: Business
526, predicted: News, actual: News
558, predicted: News, actual: News
1002, predicted: Regional, actual: Regional
1167, predicted: Science, actual: Science
1190, predicted: Science, actual: Science
1268, predicted: Science, actual: Science
1277, predicted: Science, actual: Science
1288, predicted: Science, actual: Science
1438, predicted: Shopping, actual: Shopping
1510, predicted: Society, actual: Society
1583, predicted: Society, actual: Society
1650, predicted: Society, actual: Society
1727, predicted: Sports, actual: Sports
1729, predicted: Sports, actual: Sports
1745, predicted: Sports, actual: Sports
1763, predicted: Sports, actual: Sports
1771, predicted: Sports, actual: Sports
1778, predicted: Sports, actual: Sports
1791, predicted: Sports, actual: Sports
1875, predicted: Shopping, actual: Shopping
1887, predicted: Shopping, actual: Shopping
1994, predicted: Sports, actual: Sports
2037, predicted: Business, actual: Business
3226, predicted: Society, actual: Society
3245, predicted: Society, actual: Society
3263, predicted: Society, actual: Society
3276, predicted: Society, actual: Society
3317, predicted: Sports, actual: Sports
3322, predicted: Sports, actual: Sports
3352, predicted: Sports, actual: Sports
3359, predicted: Sports, actual: Sports
3369, predicted: Sports, actual: Sports
3380, predicted: Sports, actual: Sports
3393, predicted: Sports, actual: Sports
3404, predicted: Sports, actual: Sports
3405, predicted: Sports, actual: Sports
3461, predicted: Sports, actual: Sports
3951, predicted: Sports, actual: Sports
21063, predicted: Computers, actual: Computers
6234, predicted: Society, actual: Society
7250, predicted: Adult, actual: Adult
7264, predicted: Adult, actual: Adult
7267, predicted: Adult, actual: Adult
20626, predicted: Computers, actual: Computers
20796, predicted: Computers, actual: Computers
20889, predicted: Computers, actual: Computers
20936, predicted: Computers, actual: Computers
20941, predicted: Computers, actual: Computers
5687, predicted: Recreation, actual: Recreation
5902, predicted: Science, actual: Science
5961, predicted: Science, actual: Science
6044, predicted: Shopping, actual: Shopping
6098, predicted: Shopping, actual: Shopping
6663, predicted: Adult, actual: Adult
6665, predicted: Adult, actual: Adult
6670, predicted: Adult, actual: Adult
19399, predicted: Computers, actual: Computers
19625, predicted: Computers, actual: Computers
19786, predicted: Computers, actual: Computers
19894, predicted: Science, actual: Science
20094, predicted: Computers, actual: Computers
20147, predicted: Computers, actual: Computers
20160, predicted: Computers, actual: Computers
20167, predicted: Computers, actual: Computers
20202, predicted: Computers, actual: Computers
20342, predicted: Computers, actual: Computers
20354, predicted: Computers, actual: Computers
20363, predicted: Computers, actual: Computers
20366, predicted: Computers, actual: Computers
20371, predicted: Computers, actual: Computers
20372, predicted: Computers, actual: Computers
20377, predicted: Computers, actual: Computers
20389, predicted: Computers, actual: Computers
20513, predicted: Computers, actual: Computers
20612, predicted: Computers, actual: Computers
3528, predicted: Sports, actual: Sports
3543, predicted: Sports, actual: Sports
3584, predicted: Sports, actual: Sports
3661, predicted: Sports, actual: Sports
3739, predicted: Science, actual: Science
3744, predicted: Shopping, actual: Shopping
3792, predicted: Sports, actual: Sports
3808, predicted: Sports, actual: Sports
3843, predicted: Sports, actual: Sports
3852, predicted: Sports, actual: Sports
3909, predicted: Sports, actual: Sports
3935, predicted: Sports, actual: Sports
3949, predicted: Sports, actual: Sports
3979, predicted: Sports, actual: Sports
3986, predicted: Sports, actual: Sports
3997, predicted: Sports, actual: Sports
4094, predicted: Sports, actual: Sports
4127, predicted: Sports, actual: Sports
4130, predicted: Sports, actual: Sports
4143, predicted: Sports, actual: Sports
4172, predicted: Sports, actual: Sports
4193, predicted: Sports, actual: Sports
4262, predicted: Sports, actual: Sports
4271, predicted: Sports, actual: Sports
4312, predicted: Sports, actual: Sports
4381, predicted: Society, actual: Society
4417, predicted: Sports, actual: Sports
4432, predicted: Sports, actual: Sports
4445, predicted: Sports, actual: Sports
4497, predicted: Sports, actual: Sports
4604, predicted: Arts, actual: Arts
4747, predicted: Arts, actual: Arts
4794, predicted: Arts, actual: Arts
4860, predicted: Business, actual: Business
4920, predicted: Arts, actual: Arts
4958, predicted: Computers, actual: Computers
5010, predicted: Games, actual: Games
5125, predicted: Health, actual: Health
5150, predicted: Health, actual: Health
5186, predicted: Health, actual: Health
5189, predicted: Health, actual: Health
5256, predicted: Home, actual: Home
5310, predicted: Health, actual: Health
5603, predicted: Recreation, actual: Recreation
5670, predicted: Recreation, actual: Recreation
6410, predicted: Sports, actual: Sports
6479, predicted: Adult, actual: Adult
6513, predicted: Adult, actual: Adult
6583, predicted: Adult, actual: Adult
11313, predicted: Arts, actual: Arts
11543, predicted: Arts, actual: Arts
11653, predicted: Arts, actual: Arts
11655, predicted: Arts, actual: Arts
11693, predicted: Arts, actual: Arts
11776, predicted: Arts, actual: Arts
12002, predicted: Business, actual: Business
12068, predicted: Business, actual: Business
12095, predicted: Business, actual: Business
12104, predicted: Business, actual: Business
12147, predicted: Business, actual: Business
12184, predicted: Business, actual: Business
12211, predicted: Business, actual: Business
12216, predicted: Business, actual: Business
12322, predicted: Business, actual: Business
12343, predicted: Business, actual: Business
12354, predicted: Business, actual: Business
12366, predicted: Business, actual: Business
12505, predicted: Business, actual: Business
12642, predicted: Business, actual: Business
12806, predicted: Business, actual: Business
12835, predicted: Business, actual: Business
12838, predicted: Business, actual: Business
12877, predicted: Business, actual: Business
12981, predicted: Business, actual: Business
13024, predicted: Business, actual: Business
13136, predicted: Business, actual: Business
13212, predicted: Business, actual: Business
13230, predicted: Business, actual: Business
13345, predicted: Business, actual: Business
13509, predicted: Business, actual: Business
14470, predicted: Business, actual: Business
14678, predicted: Business, actual: Business
14723, predicted: Business, actual: Business
14771, predicted: Business, actual: Business
14894, predicted: Business, actual: Business
14900, predicted: Business, actual: Business
14903, predicted: Business, actual: Business
14963, predicted: Business, actual: Business
15021, predicted: Business, actual: Business
15064, predicted: Business, actual: Business
15086, predicted: Business, actual: Business
15087, predicted: Business, actual: Business
15112, predicted: Business, actual: Business
15137, predicted: Business, actual: Business
15146, predicted: Business, actual: Business
15205, predicted: Business, actual: Business
15229, predicted: Business, actual: Business
15408, predicted: Business, actual: Business
15429, predicted: Business, actual: Business
15456, predicted: Business, actual: Business
15640, predicted: Business, actual: Business
15706, predicted: Business, actual: Business
15778, predicted: Business, actual: Business
15792, predicted: Business, actual: Business
15844, predicted: Business, actual: Business
15882, predicted: Business, actual: Business
15886, predicted: Business, actual: Business
16005, predicted: Business, actual: Business
16052, predicted: Business, actual: Business
16061, predicted: Business, actual: Business
16080, predicted: Business, actual: Business
16135, predicted: Business, actual: Business
16165, predicted: Business, actual: Business
16204, predicted: Business, actual: Business
16236, predicted: Business, actual: Business
16239, predicted: Business, actual: Business
16298, predicted: Business, actual: Business
16301, predicted: Business, actual: Business
16304, predicted: Business, actual: Business
16327, predicted: Business, actual: Business
16415, predicted: Business, actual: Business
16432, predicted: Business, actual: Business
16500, predicted: Business, actual: Business
16508, predicted: Business, actual: Business
16564, predicted: Business, actual: Business
16567, predicted: Business, actual: Business
16612, predicted: Business, actual: Business
16691, predicted: Business, actual: Business
16699, predicted: Business, actual: Business
16768, predicted: Business, actual: Business
16796, predicted: Business, actual: Business
16959, predicted: Business, actual: Business
16983, predicted: Business, actual: Business
16992, predicted: Business, actual: Business
17063, predicted: Business, actual: Business
17069, predicted: Business, actual: Business
17091, predicted: Business, actual: Business
17237, predicted: Business, actual: Business
17286, predicted: Business, actual: Business
17310, predicted: Business, actual: Business
17373, predicted: Business, actual: Business
17388, predicted: Business, actual: Business
17395, predicted: Business, actual: Business
17404, predicted: Business, actual: Business
17408, predicted: Business, actual: Business
17480, predicted: Business, actual: Business
17502, predicted: Computers, actual: Computers
17535, predicted: Computers, actual: Computers
17565, predicted: Computers, actual: Computers
17612, predicted: Computers, actual: Computers
17650, predicted: Computers, actual: Computers
17673, predicted: Computers, actual: Computers
17683, predicted: Computers, actual: Computers
17701, predicted: Computers, actual: Computers
17777, predicted: Computers, actual: Computers
17866, predicted: Computers, actual: Computers
17888, predicted: Computers, actual: Computers
17914, predicted: Computers, actual: Computers
18055, predicted: Computers, actual: Computers
18282, predicted: Computers, actual: Computers
18298, predicted: Computers, actual: Computers
18339, predicted: Computers, actual: Computers
18450, predicted: Computers, actual: Computers
18476, predicted: Computers, actual: Computers
557, predicted: News, actual: News
688, predicted: Reference, actual: Reference
701, predicted: Reference, actual: Reference
1257, predicted: Science, actual: Science
1387, predicted: Shopping, actual: Shopping
1412, predicted: Shopping, actual: Shopping
1806, predicted: News, actual: News
1951, predicted: Society, actual: Society
2230, predicted: Reference, actual: Reference
2765, predicted: Science, actual: Science
2769, predicted: Science, actual: Science
2776, predicted: Science, actual: Science
2825, predicted: Science, actual: Science
2838, predicted: Science, actual: Science
2846, predicted: Science, actual: Science
2862, predicted: Science, actual: Science
2876, predicted: Science, actual: Science
2889, predicted: Science, actual: Science
3002, predicted: Shopping, actual: Shopping
3040, predicted: Shopping, actual: Shopping
3211, predicted: Society, actual: Society
3319, predicted: Sports, actual: Sports
3564, predicted: Sports, actual: Sports
3646, predicted: Sports, actual: Sports
3658, predicted: Sports, actual: Sports
3687, predicted: Sports, actual: Sports
3712, predicted: Regional, actual: Regional
3816, predicted: Sports, actual: Sports
3942, predicted: Sports, actual: Sports
4030, predicted: Sports, actual: Sports
4139, predicted: Sports, actual: Sports
4216, predicted: Sports, actual: Sports
4252, predicted: Sports, actual: Sports
4268, predicted: Sports, actual: Sports
4292, predicted: Sports, actual: Sports
4544, predicted: Adult, actual: Adult
4645, predicted: Arts, actual: Arts
4725, predicted: Arts, actual: Arts
4737, predicted: Arts, actual: Arts
4849, predicted: Games, actual: Games
4859, predicted: Business, actual: Business
4890, predicted: Business, actual: Business
5099, predicted: Games, actual: Games
5158, predicted: Health, actual: Health
5165, predicted: Health, actual: Health
5175, predicted: Health, actual: Health
5401, predicted: Games, actual: Games
5582, predicted: Recreation, actual: Recreation
5718, predicted: Reference, actual: Reference
5737, predicted: Reference, actual: Reference
5762, predicted: Reference, actual: Reference
5769, predicted: Reference, actual: Reference
5780, predicted: Reference, actual: Reference
5800, predicted: Reference, actual: Reference
5821, predicted: Reference, actual: Reference
5825, predicted: Reference, actual: Reference
6064, predicted: Shopping, actual: Shopping
6086, predicted: Shopping, actual: Shopping
6107, predicted: Shopping, actual: Shopping
6230, predicted: Society, actual: Society
6337, predicted: Sports, actual: Sports
6338, predicted: Sports, actual: Sports
6483, predicted: Adult, actual: Adult
6569, predicted: Adult, actual: Adult
6745, predicted: Adult, actual: Adult
6760, predicted: Adult, actual: Adult
6768, predicted: Adult, actual: Adult
6886, predicted: Adult, actual: Adult
6937, predicted: Adult, actual: Adult
7017, predicted: Adult, actual: Adult
7629, predicted: Adult, actual: Adult
7716, predicted: Arts, actual: Arts
7766, predicted: Arts, actual: Arts
7802, predicted: Arts, actual: Arts
7811, predicted: Arts, actual: Arts
7813, predicted: Arts, actual: Arts
7835, predicted: Arts, actual: Arts
7843, predicted: Arts, actual: Arts
8080, predicted: Arts, actual: Arts
8106, predicted: Arts, actual: Arts
8167, predicted: Arts, actual: Arts
8336, predicted: Arts, actual: Arts
8431, predicted: Arts, actual: Arts
8475, predicted: Arts, actual: Arts
8505, predicted: Arts, actual: Arts
8591, predicted: Arts, actual: Arts
8628, predicted: Arts, actual: Arts
8653, predicted: Arts, actual: Arts
8840, predicted: Arts, actual: Arts
8978, predicted: Arts, actual: Arts
9033, predicted: Arts, actual: Arts
9173, predicted: Arts, actual: Arts
9261, predicted: Arts, actual: Arts
9271, predicted: Arts, actual: Arts
9275, predicted: Arts, actual: Arts
9281, predicted: Arts, actual: Arts
9312, predicted: Arts, actual: Arts
9347, predicted: Arts, actual: Arts
9521, predicted: Arts, actual: Arts
9542, predicted: Arts, actual: Arts
9813, predicted: Arts, actual: Arts
9877, predicted: Recreation, actual: Recreation
9946, predicted: Society, actual: Society
10151, predicted: Arts, actual: Arts
10159, predicted: Arts, actual: Arts
10181, predicted: Arts, actual: Arts
10218, predicted: Arts, actual: Arts
10225, predicted: Arts, actual: Arts
10234, predicted: Arts, actual: Arts
10239, predicted: Arts, actual: Arts
10271, predicted: Arts, actual: Arts
10321, predicted: Arts, actual: Arts
10385, predicted: Arts, actual: Arts
10466, predicted: Arts, actual: Arts
10631, predicted: Arts, actual: Arts
10644, predicted: Arts, actual: Arts
10647, predicted: Arts, actual: Arts
10665, predicted: Arts, actual: Arts
10738, predicted: Arts, actual: Arts
10769, predicted: Arts, actual: Arts
10770, predicted: Arts, actual: Arts
10780, predicted: Arts, actual: Arts
10781, predicted: Arts, actual: Arts
10795, predicted: Arts, actual: Arts
10800, predicted: Arts, actual: Arts
10809, predicted: Arts, actual: Arts
10812, predicted: Arts, actual: Arts
10813, predicted: Arts, actual: Arts
10815, predicted: Arts, actual: Arts
10817, predicted: Arts, actual: Arts
10830, predicted: Arts, actual: Arts
10837, predicted: Arts, actual: Arts
10840, predicted: Arts, actual: Arts
10864, predicted: Arts, actual: Arts
10877, predicted: Arts, actual: Arts
10882, predicted: Arts, actual: Arts
10899, predicted: Arts, actual: Arts
10914, predicted: Arts, actual: Arts
10919, predicted: Arts, actual: Arts
11086, predicted: Arts, actual: Arts
11112, predicted: Arts, actual: Arts
11130, predicted: Arts, actual: Arts
11147, predicted: Arts, actual: Arts
11155, predicted: Arts, actual: Arts
11296, predicted: Arts, actual: Arts
11312, predicted: Arts, actual: Arts
11492, predicted: Arts, actual: Arts
11506, predicted: Arts, actual: Arts
11931, predicted: Business, actual: Business
11988, predicted: Business, actual: Business
12015, predicted: Business, actual: Business
12039, predicted: Business, actual: Business
12118, predicted: Business, actual: Business
12124, predicted: Business, actual: Business
12230, predicted: Business, actual: Business
12550, predicted: Business, actual: Business
12603, predicted: Business, actual: Business
12635, predicted: Business, actual: Business
12815, predicted: Business, actual: Business
12837, predicted: Business, actual: Business
12906, predicted: Business, actual: Business
12933, predicted: Business, actual: Business
12992, predicted: Business, actual: Business
13067, predicted: Business, actual: Business
