14578, predicted: Health, actual: Business
2541, predicted: Reference, actual: Regional
2544, predicted: Arts, actual: Regional
2555, predicted: Arts, actual: Regional
2570, predicted: Arts, actual: Regional
2595, predicted: Business, actual: Regional
2608, predicted: Business, actual: Regional
2612, predicted: Business, actual: Regional
2620, predicted: Recreation, actual: Regional
2641, predicted: Business, actual: Regional
2681, predicted: Business, actual: Regional
4096, predicted: Business, actual: Sports
14319, predicted: Shopping, actual: Business
14513, predicted: Shopping, actual: Business
2187, predicted: Business, actual: Recreation
2188, predicted: Business, actual: Recreation
2220, predicted: Science, actual: Reference
2243, predicted: Shopping, actual: Reference
2250, predicted: Society, actual: Reference
2261, predicted: News, actual: Regional
2276, predicted: Business, actual: Regional
2287, predicted: Business, actual: Regional
2304, predicted: Sports, actual: Regional
2325, predicted: Business, actual: Regional
2344, predicted: Business, actual: Regional
2354, predicted: Home, actual: Regional
2388, predicted: Business, actual: Regional
2396, predicted: Arts, actual: Regional
2397, predicted: Sports, actual: Regional
2405, predicted: Business, actual: Regional
2419, predicted: Business, actual: Regional
2424, predicted: Business, actual: Regional
2428, predicted: Shopping, actual: Regional
2453, predicted: Business, actual: Regional
2464, predicted: Arts, actual: Regional
2509, predicted: Health, actual: Regional
2513, predicted: Recreation, actual: Regional
2538, predicted: Business, actual: Regional
3517, predicted: Recreation, actual: Sports
4086, predicted: Arts, actual: Sports
13521, predicted: Games, actual: Business
13554, predicted: Recreation, actual: Business
13677, predicted: News, actual: Business
13863, predicted: Arts, actual: Business
13915, predicted: Computers, actual: Business
13929, predicted: Arts, actual: Business
14113, predicted: Games, actual: Business
14130, predicted: Computers, actual: Business
14139, predicted: Shopping, actual: Business
14227, predicted: Computers, actual: Business
14284, predicted: Shopping, actual: Business
18576, predicted: Business, actual: Computers
18580, predicted: Business, actual: Computers
18592, predicted: Arts, actual: Computers
18613, predicted: Business, actual: Computers
18900, predicted: News, actual: Computers
18920, predicted: Recreation, actual: Computers
18922, predicted: Business, actual: Computers
18963, predicted: Shopping, actual: Computers
19057, predicted: Business, actual: Computers
302, predicted: Business, actual: Computers
310, predicted: Business, actual: Games
325, predicted: Sports, actual: Health
330, predicted: Business, actual: Health
392, predicted: Business, actual: News
408, predicted: Business, actual: News
412, predicted: Business, actual: News
414, predicted: Business, actual: News
417, predicted: Arts, actual: News
461, predicted: Business, actual: Recreation
492, predicted: News, actual: Regional
497, predicted: Business, actual: Regional
535, predicted: Computers, actual: News
543, predicted: Shopping, actual: News
564, predicted: Business, actual: Recreation
591, predicted: Society, actual: Recreation
602, predicted: Society, actual: Recreation
607, predicted: Business, actual: Recreation
