4096, predicted: Sports, actual: Sports
14305, predicted: Business, actual: Business
14399, predicted: Business, actual: Business
14539, predicted: Business, actual: Business
2145, predicted: Recreation, actual: Recreation
2162, predicted: Recreation, actual: Recreation
2187, predicted: Recreation, actual: Recreation
2188, predicted: Recreation, actual: Recreation
2250, predicted: Reference, actual: Reference
2344, predicted: Regional, actual: Regional
2399, predicted: Regional, actual: Regional
2402, predicted: Regional, actual: Regional
2409, predicted: Regional, actual: Regional
2509, predicted: Regional, actual: Regional
3472, predicted: Sports, actual: Sports
3505, predicted: Sports, actual: Sports
3512, predicted: Sports, actual: Sports
13598, predicted: Business, actual: Business
13677, predicted: Business, actual: Business
13698, predicted: Business, actual: Business
13845, predicted: Business, actual: Business
13850, predicted: Business, actual: Business
13874, predicted: Business, actual: Business
13929, predicted: Business, actual: Business
13941, predicted: Business, actual: Business
14115, predicted: Business, actual: Business
14139, predicted: Business, actual: Business
14227, predicted: Business, actual: Business
14249, predicted: Business, actual: Business
18592, predicted: Computers, actual: Computers
18601, predicted: Computers, actual: Computers
18613, predicted: Computers, actual: Computers
18624, predicted: Games, actual: Games
18702, predicted: Computers, actual: Computers
18798, predicted: Computers, actual: Computers
18883, predicted: Computers, actual: Computers
18963, predicted: Computers, actual: Computers
19057, predicted: Computers, actual: Computers
262, predicted: Business, actual: Business
280, predicted: Computers, actual: Computers
310, predicted: Games, actual: Games
330, predicted: Health, actual: Health
334, predicted: Health, actual: Health
352, predicted: Business, actual: Business
392, predicted: News, actual: News
414, predicted: News, actual: News
417, predicted: News, actual: News
497, predicted: Regional, actual: Regional
526, predicted: News, actual: News
543, predicted: News, actual: News
558, predicted: News, actual: News
591, predicted: Recreation, actual: Recreation
703, predicted: Reference, actual: Reference
744, predicted: Reference, actual: Reference
863, predicted: Regional, actual: Regional
1160, predicted: Science, actual: Science
1167, predicted: Science, actual: Science
1268, predicted: Science, actual: Science
1277, predicted: Science, actual: Science
1288, predicted: Science, actual: Science
1393, predicted: Shopping, actual: Shopping
1394, predicted: Shopping, actual: Shopping
1430, predicted: Shopping, actual: Shopping
1438, predicted: Shopping, actual: Shopping
1481, predicted: Society, actual: Society
1510, predicted: Society, actual: Society
1569, predicted: Society, actual: Society
1583, predicted: Society, actual: Society
1650, predicted: Society, actual: Society
1699, predicted: Society, actual: Society
1727, predicted: Sports, actual: Sports
1729, predicted: Sports, actual: Sports
1745, predicted: Sports, actual: Sports
1763, predicted: Sports, actual: Sports
1771, predicted: Sports, actual: Sports
1777, predicted: Sports, actual: Sports
1778, predicted: Sports, actual: Sports
1791, predicted: Sports, actual: Sports
1875, predicted: Shopping, actual: Shopping
1887, predicted: Shopping, actual: Shopping
1895, predicted: Shopping, actual: Shopping
1994, predicted: Sports, actual: Sports
2140, predicted: Recreation, actual: Recreation
3164, predicted: Society, actual: Society
3245, predicted: Society, actual: Society
3263, predicted: Society, actual: Society
3275, predicted: Society, actual: Society
3317, predicted: Sports, actual: Sports
3322, predicted: Sports, actual: Sports
3346, predicted: Sports, actual: Sports
3352, predicted: Sports, actual: Sports
3359, predicted: Sports, actual: Sports
3369, predicted: Sports, actual: Sports
3380, predicted: Sports, actual: Sports
3393, predicted: Sports, actual: Sports
3404, predicted: Sports, actual: Sports
3405, predicted: Sports, actual: Sports
3461, predicted: Sports, actual: Sports
21063, predicted: Computers, actual: Computers
6144, predicted: Shopping, actual: Shopping
6234, predicted: Society, actual: Society
6312, predicted: Sports, actual: Sports
6853, predicted: Adult, actual: Adult
7250, predicted: Adult, actual: Adult
7264, predicted: Adult, actual: Adult
7267, predicted: Adult, actual: Adult
20626, predicted: Computers, actual: Computers
