14578, predicted: Health, actual: Business
2541, predicted: Sports, actual: Regional
2544, predicted: Business, actual: Regional
2555, predicted: Sports, actual: Regional
2570, predicted: News, actual: Regional
2595, predicted: Business, actual: Regional
2608, predicted: Business, actual: Regional
2612, predicted: Business, actual: Regional
2620, predicted: Business, actual: Regional
2641, predicted: Business, actual: Regional
2674, predicted: Society, actual: Regional
2681, predicted: Shopping, actual: Regional
14319, predicted: Shopping, actual: Business
14352, predicted: Shopping, actual: Business
2188, predicted: Business, actual: Recreation
2220, predicted: Science, actual: Reference
2243, predicted: Shopping, actual: Reference
2250, predicted: Society, actual: Reference
2261, predicted: News, actual: Regional
2276, predicted: Business, actual: Regional
2304, predicted: Arts, actual: Regional
2325, predicted: Business, actual: Regional
2344, predicted: Business, actual: Regional
2354, predicted: Business, actual: Regional
2388, predicted: Shopping, actual: Regional
2396, predicted: News, actual: Regional
2397, predicted: Computers, actual: Regional
2419, predicted: Arts, actual: Regional
2428, predicted: Business, actual: Regional
2453, predicted: Recreation, actual: Regional
2464, predicted: Shopping, actual: Regional
2513, predicted: Business, actual: Regional
2538, predicted: Business, actual: Regional
3517, predicted: Shopping, actual: Sports
4086, predicted: Computers, actual: Sports
13521, predicted: Recreation, actual: Business
13845, predicted: News, actual: Business
13863, predicted: Sports, actual: Business
13906, predicted: Shopping, actual: Business
14113, predicted: Games, actual: Business
14130, predicted: Computers, actual: Business
14227, predicted: Arts, actual: Business
18576, predicted: Shopping, actual: Computers
18580, predicted: Business, actual: Computers
18592, predicted: Business, actual: Computers
18613, predicted: Business, actual: Computers
18900, predicted: News, actual: Computers
18920, predicted: News, actual: Computers
18922, predicted: Business, actual: Computers
18963, predicted: Business, actual: Computers
19057, predicted: Arts, actual: Computers
302, predicted: Business, actual: Computers
310, predicted: Business, actual: Games
408, predicted: Business, actual: News
412, predicted: Sports, actual: News
461, predicted: Business, actual: Recreation
492, predicted: News, actual: Regional
497, predicted: Business, actual: Regional
535, predicted: Business, actual: News
543, predicted: Business, actual: News
564, predicted: Sports, actual: Recreation
591, predicted: Business, actual: Recreation
602, predicted: Society, actual: Recreation
607, predicted: Business, actual: Recreation
608, predicted: Sports, actual: Recreation
