2674, predicted: Regional, actual: Regional
4096, predicted: Sports, actual: Sports
14399, predicted: Business, actual: Business
14535, predicted: Business, actual: Business
14539, predicted: Business, actual: Business
2162, predicted: Recreation, actual: Recreation
2188, predicted: Recreation, actual: Recreation
2198, predicted: Reference, actual: Reference
2287, predicted: Regional, actual: Regional
2399, predicted: Regional, actual: Regional
2409, predicted: Regional, actual: Regional
3472, predicted: Sports, actual: Sports
3505, predicted: Sports, actual: Sports
13649, predicted: Business, actual: Business
13677, predicted: Business, actual: Business
13698, predicted: Business, actual: Business
13845, predicted: Business, actual: Business
13850, predicted: Business, actual: Business
13874, predicted: Business, actual: Business
13929, predicted: Business, actual: Business
13941, predicted: Business, actual: Business
14099, predicted: Business, actual: Business
14115, predicted: Business, actual: Business
18592, predicted: Computers, actual: Computers
18601, predicted: Computers, actual: Computers
18613, predicted: Computers, actual: Computers
18624, predicted: Games, actual: Games
18702, predicted: Computers, actual: Computers
18798, predicted: Computers, actual: Computers
18963, predicted: Computers, actual: Computers
262, predicted: Business, actual: Business
280, predicted: Computers, actual: Computers
325, predicted: Health, actual: Health
330, predicted: Health, actual: Health
352, predicted: Business, actual: Business
497, predicted: Regional, actual: Regional
526, predicted: News, actual: News
543, predicted: News, actual: News
703, predicted: Reference, actual: Reference
744, predicted: Reference, actual: Reference
919, predicted: Regional, actual: Regional
1114, predicted: Regional, actual: Regional
1167, predicted: Science, actual: Science
1268, predicted: Science, actual: Science
1277, predicted: Science, actual: Science
1288, predicted: Science, actual: Science
1328, predicted: Science, actual: Science
1393, predicted: Shopping, actual: Shopping
1438, predicted: Shopping, actual: Shopping
1481, predicted: Society, actual: Society
1557, predicted: Society, actual: Society
1559, predicted: Society, actual: Society
1583, predicted: Society, actual: Society
1727, predicted: Sports, actual: Sports
1729, predicted: Sports, actual: Sports
1745, predicted: Sports, actual: Sports
1757, predicted: Sports, actual: Sports
1763, predicted: Sports, actual: Sports
1778, predicted: Sports, actual: Sports
1791, predicted: Sports, actual: Sports
1875, predicted: Shopping, actual: Shopping
1994, predicted: Sports, actual: Sports
2035, predicted: Business, actual: Business
2037, predicted: Business, actual: Business
3245, predicted: Society, actual: Society
3263, predicted: Society, actual: Society
3275, predicted: Society, actual: Society
3282, predicted: Society, actual: Society
3303, predicted: Sports, actual: Sports
3317, predicted: Sports, actual: Sports
3322, predicted: Sports, actual: Sports
3352, predicted: Sports, actual: Sports
3359, predicted: Sports, actual: Sports
3369, predicted: Sports, actual: Sports
3380, predicted: Sports, actual: Sports
3393, predicted: Sports, actual: Sports
3404, predicted: Sports, actual: Sports
3405, predicted: Sports, actual: Sports
3425, predicted: Sports, actual: Sports
3461, predicted: Sports, actual: Sports
6234, predicted: Society, actual: Society
6312, predicted: Sports, actual: Sports
6853, predicted: Adult, actual: Adult
7250, predicted: Adult, actual: Adult
7264, predicted: Adult, actual: Adult
7267, predicted: Adult, actual: Adult
20626, predicted: Computers, actual: Computers
20637, predicted: Computers, actual: Computers
20709, predicted: Computers, actual: Computers
20829, predicted: Computers, actual: Computers
20941, predicted: Computers, actual: Computers
5536, predicted: Home, actual: Home
5835, predicted: Arts, actual: Arts
5902, predicted: Science, actual: Science
5961, predicted: Science, actual: Science
6098, predicted: Shopping, actual: Shopping
6103, predicted: Shopping, actual: Shopping
6655, predicted: Adult, actual: Adult
6663, predicted: Adult, actual: Adult
6665, predicted: Adult, actual: Adult
6670, predicted: Adult, actual: Adult
7203, predicted: Adult, actual: Adult
19535, predicted: Computers, actual: Computers
19609, predicted: Computers, actual: Computers
19801, predicted: Computers, actual: Computers
19894, predicted: Science, actual: Science
20094, predicted: Computers, actual: Computers
20147, predicted: Computers, actual: Computers
20160, predicted: Computers, actual: Computers
20167, predicted: Computers, actual: Computers
20202, predicted: Computers, actual: Computers
20285, predicted: Computers, actual: Computers
20354, predicted: Computers, actual: Computers
20363, predicted: Computers, actual: Computers
20366, predicted: Computers, actual: Computers
20371, predicted: Computers, actual: Computers
20372, predicted: Computers, actual: Computers
20389, predicted: Computers, actual: Computers
20437, predicted: Computers, actual: Computers
20513, predicted: Computers, actual: Computers
3528, predicted: Sports, actual: Sports
3543, predicted: Sports, actual: Sports
3553, predicted: Sports, actual: Sports
3584, predicted: Sports, actual: Sports
3661, predicted: Sports, actual: Sports
3739, predicted: Science, actual: Science
3744, predicted: Shopping, actual: Shopping
3792, predicted: Sports, actual: Sports
