14578, predicted: Health, actual: Business
2541, predicted: Recreation, actual: Regional
2544, predicted: Sports, actual: Regional
2555, predicted: Computers, actual: Regional
2570, predicted: Arts, actual: Regional
2595, predicted: Science, actual: Regional
2608, predicted: Business, actual: Regional
2612, predicted: Business, actual: Regional
2620, predicted: Business, actual: Regional
2641, predicted: Society, actual: Regional
2681, predicted: Shopping, actual: Regional
14305, predicted: Sports, actual: Business
14319, predicted: Sports, actual: Business
14352, predicted: Arts, actual: Business
14513, predicted: Shopping, actual: Business
2145, predicted: Computers, actual: Recreation
2187, predicted: Business, actual: Recreation
2220, predicted: Science, actual: Reference
2243, predicted: Shopping, actual: Reference
2250, predicted: Games, actual: Reference
2261, predicted: Society, actual: Regional
2276, predicted: Science, actual: Regional
2304, predicted: Computers, actual: Regional
2325, predicted: Business, actual: Regional
2337, predicted: Recreation, actual: Regional
2344, predicted: Business, actual: Regional
2354, predicted: Society, actual: Regional
2388, predicted: Recreation, actual: Regional
2396, predicted: Recreation, actual: Regional
2397, predicted: News, actual: Regional
2402, predicted: Recreation, actual: Regional
2405, predicted: Business, actual: Regional
2419, predicted: Recreation, actual: Regional
2424, predicted: Computers, actual: Regional
2428, predicted: Recreation, actual: Regional
2453, predicted: Business, actual: Regional
2464, predicted: Home, actual: Regional
2509, predicted: Society, actual: Regional
2513, predicted: Business, actual: Regional
2538, predicted: Health, actual: Regional
3512, predicted: Society, actual: Sports
3517, predicted: Shopping, actual: Sports
4086, predicted: Health, actual: Sports
13521, predicted: Shopping, actual: Business
13554, predicted: Health, actual: Business
13598, predicted: Computers, actual: Business
13863, predicted: Sports, actual: Business
13906, predicted: Shopping, actual: Business
13915, predicted: Computers, actual: Business
13931, predicted: Shopping, actual: Business
14113, predicted: Shopping, actual: Business
14130, predicted: Shopping, actual: Business
14139, predicted: Recreation, actual: Business
14227, predicted: Arts, actual: Business
14249, predicted: Computers, actual: Business
14284, predicted: Shopping, actual: Business
18576, predicted: Shopping, actual: Computers
18580, predicted: Business, actual: Computers
18883, predicted: Health, actual: Computers
18900, predicted: Business, actual: Computers
18920, predicted: News, actual: Computers
18922, predicted: Business, actual: Computers
19057, predicted: Society, actual: Computers
302, predicted: Business, actual: Computers
310, predicted: Shopping, actual: Games
334, predicted: Society, actual: Health
392, predicted: Business, actual: News
408, predicted: Business, actual: News
412, predicted: Business, actual: News
414, predicted: Arts, actual: News
417, predicted: Arts, actual: News
461, predicted: Business, actual: Recreation
492, predicted: Business, actual: Regional
535, predicted: Games, actual: News
558, predicted: Arts, actual: News
564, predicted: Business, actual: Recreation
591, predicted: Sports, actual: Recreation
602, predicted: Society, actual: Recreation
607, predicted: Business, actual: Recreation
608, predicted: Arts, actual: Recreation
721, predicted: Business, actual: Reference
748, predicted: Science, actual: Reference
779, predicted: Business, actual: Regional
805, predicted: Business, actual: Regional
814, predicted: Arts, actual: Regional
846, predicted: Sports, actual: Regional
849, predicted: Shopping, actual: Regional
853, predicted: Business, actual: Regional
863, predicted: Reference, actual: Regional
914, predicted: Computers, actual: Regional
928, predicted: Shopping, actual: Recreation
973, predicted: Business, actual: Regional
974, predicted: Business, actual: Regional
984, predicted: Society, actual: Regional
1002, predicted: Sports, actual: Regional
