14578, predicted: Health, actual: Business
2541, predicted: Reference, actual: Regional
2544, predicted: Business, actual: Regional
2555, predicted: Shopping, actual: Regional
2570, predicted: News, actual: Regional
2595, predicted: Business, actual: Regional
2608, predicted: Business, actual: Regional
2612, predicted: Business, actual: Regional
2620, predicted: Recreation, actual: Regional
2641, predicted: Business, actual: Regional
2674, predicted: Society, actual: Regional
2681, predicted: Business, actual: Regional
14319, predicted: Health, actual: Business
14352, predicted: Computers, actual: Business
14513, predicted: Shopping, actual: Business
14535, predicted: Shopping, actual: Business
2145, predicted: Sports, actual: Recreation
2187, predicted: Arts, actual: Recreation
2198, predicted: Computers, actual: Reference
2220, predicted: Home, actual: Reference
2243, predicted: Shopping, actual: Reference
2261, predicted: News, actual: Regional
2276, predicted: Kids, actual: Regional
2304, predicted: Health, actual: Regional
2325, predicted: Business, actual: Regional
2337, predicted: Kids, actual: Regional
2354, predicted: Computers, actual: Regional
2388, predicted: Shopping, actual: Regional
2396, predicted: Shopping, actual: Regional
2397, predicted: News, actual: Regional
2405, predicted: Sports, actual: Regional
2419, predicted: Arts, actual: Regional
2428, predicted: Recreation, actual: Regional
2453, predicted: Business, actual: Regional
2464, predicted: Arts, actual: Regional
2513, predicted: Business, actual: Regional
2538, predicted: Health, actual: Regional
3517, predicted: Shopping, actual: Sports
4086, predicted: Computers, actual: Sports
13521, predicted: Arts, actual: Business
13554, predicted: Society, actual: Business
13598, predicted: Society, actual: Business
13649, predicted: Shopping, actual: Business
13845, predicted: Sports, actual: Business
13850, predicted: Society, actual: Business
13863, predicted: Arts, actual: Business
13874, predicted: Computers, actual: Business
13915, predicted: Science, actual: Business
13931, predicted: Computers, actual: Business
14099, predicted: Recreation, actual: Business
14130, predicted: Computers, actual: Business
14227, predicted: Arts, actual: Business
14249, predicted: Computers, actual: Business
14284, predicted: Shopping, actual: Business
18576, predicted: Shopping, actual: Computers
18613, predicted: Sports, actual: Computers
18900, predicted: News, actual: Computers
18920, predicted: News, actual: Computers
18922, predicted: Shopping, actual: Computers
302, predicted: Business, actual: Computers
310, predicted: Health, actual: Games
325, predicted: Arts, actual: Health
352, predicted: Regional, actual: Business
408, predicted: Sports, actual: News
412, predicted: Business, actual: News
461, predicted: Sports, actual: Recreation
492, predicted: Recreation, actual: Regional
535, predicted: Shopping, actual: News
564, predicted: Society, actual: Recreation
602, predicted: Shopping, actual: Recreation
607, predicted: Business, actual: Recreation
608, predicted: Science, actual: Recreation
721, predicted: Society, actual: Reference
748, predicted: Science, actual: Reference
779, predicted: Society, actual: Regional
805, predicted: Society, actual: Regional
814, predicted: Recreation, actual: Regional
846, predicted: Recreation, actual: Regional
849, predicted: Sports, actual: Regional
853, predicted: Business, actual: Regional
914, predicted: Shopping, actual: Regional
919, predicted: Society, actual: Regional
928, predicted: Health, actual: Recreation
973, predicted: News, actual: Regional
974, predicted: Business, actual: Regional
984, predicted: Business, actual: Regional
1002, predicted: Computers, actual: Regional
1076, predicted: Shopping, actual: Regional
1108, predicted: Science, actual: Regional
1114, predicted: Recreation, actual: Regional
1128, predicted: Science, actual: Regional
1145, predicted: Reference, actual: Science
1179, predicted: Business, actual: Science
1190, predicted: Health, actual: Science
1227, predicted: Shopping, actual: Science
1269, predicted: Health, actual: Science
1346, predicted: Computers, actual: Science
1362, predicted: Computers, actual: Shopping
1394, predicted: Sports, actual: Shopping
1431, predicted: Business, actual: Shopping
1490, predicted: Business, actual: Society
1491, predicted: Recreation, actual: Society
1537, predicted: Health, actual: Society
1557, predicted: Health, actual: Society
1559, predicted: Arts, actual: Society
1569, predicted: Recreation, actual: Society
1570, predicted: Computers, actual: Society
1625, predicted: Science, actual: Society
1633, predicted: Reference, actual: Society
1670, predicted: Business, actual: Society
1757, predicted: News, actual: Sports
1807, predicted: Business, actual: News
1828, predicted: Adult, actual: Recreation
1838, predicted: Sports, actual: Recreation
1839, predicted: Shopping, actual: Recreation
1863, predicted: Computers, actual: Science
1864, predicted: Reference, actual: Science
1869, predicted: Business, actual: Science
1875, predicted: Business, actual: Shopping
1895, predicted: Recreation, actual: Shopping
1923, predicted: Sports, actual: Society
1950, predicted: Health, actual: Society
1977, predicted: Business, actual: Sports
1982, predicted: Recreation, actual: Sports
1985, predicted: Home, actual: Sports
2018, predicted: Regional, actual: Society
2035, predicted: Regional, actual: Business
2037, predicted: Arts, actual: Business
2044, predicted: Business, actual: Computers
2048, predicted: Health, actual: Computers
2128, predicted: Sports, actual: Recreation
2159, predicted: Business, actual: Recreation
3123, predicted: Business, actual: Society
3150, predicted: Recreation, actual: Society
3179, predicted: Sports, actual: Society
3194, predicted: Arts, actual: Society
