52866, wrong: Society, actual: Games
47238, wrong: News, actual: Arts <-
47293, wrong: News, actual: Arts <-
49552, wrong: Computers, actual: Business <-
49564, wrong: Science, actual: Business <-
49568, wrong: Computers, actual: Business <-
49667, wrong: Shopping, actual: Business
49701, wrong: Science, actual: Business <-
52669, wrong: Arts, actual: Computers
52789, wrong: Business, actual: Computers
45211, wrong: Shopping, actual: Adult
45276, wrong: Business, actual: Adult
45541, wrong: Health, actual: Arts
45627, wrong: Reference, actual: Arts
46425, wrong: Business, actual: Arts
48187, wrong: Shopping, actual: Business
48208, wrong: Shopping, actual: Business
48223, wrong: Shopping, actual: Business
48234, wrong: Business, actual: Sports
48252, wrong: Shopping, actual: Business
48267, wrong: Shopping, actual: Business
48473, wrong: Computers, actual: Business
48522, wrong: Business, actual: Regional
48664, wrong: Health, actual: Business
48731, wrong: Society, actual: Business
49021, wrong: Business, actual: Science
49022, wrong: Computers, actual: Business
49037, wrong: Health, actual: Business
49101, wrong: Sports, actual: Business
49128, wrong: Shopping, actual: Business
49253, wrong: Computers, actual: Business
49346, wrong: Society, actual: Business
49515, wrong: Computers, actual: Business
49545, wrong: Science, actual: Business
51543, wrong: Business, actual: Computers
51555, wrong: Business, actual: Computers
51694, wrong: Business, actual: Computers
51699, wrong: Business, actual: Computers
51828, wrong: Shopping, actual: Computers
52280, wrong: Business, actual: Computers
52405, wrong: Business, actual: Computers
52514, wrong: Arts, actual: Computers
52564, wrong: Business, actual: Computers
4053, wrong: Society, actual: Arts
37132, wrong: Regional, actual: Society
37290, wrong: Sports, actual: Society
37919, wrong: News, actual: Society
37932, wrong: Health, actual: Society
39656, wrong: Kids, actual: Sports
40472, wrong: Recreation, actual: Sports
41486, wrong: Arts, actual: Sports <-
43142, wrong: Recreation, actual: Sports
43354, wrong: Arts, actual: Sports
43400, wrong: Society, actual: Regional
43412, wrong: Society, actual: Adult
43533, wrong: Society, actual: Adult
43681, wrong: News, actual: Business
43729, wrong: Computers, actual: Business
43901, wrong: Computers, actual: Kids
43935, wrong: Arts, actual: Games
44105, wrong: Health, actual: Regional
44106, wrong: Computers, actual: Home
44131, wrong: Recreation, actual: Home
44136, wrong: Computers, actual: Society
44138, wrong: Shopping, actual: Home
44145, wrong: Business, actual: Home
44161, wrong: Business, actual: Regional
44171, wrong: Recreation, actual: Home
44173, wrong: Business, actual: Home
44175, wrong: Recreation, actual: Home
44184, wrong: Shopping, actual: Home
44190, wrong: Sports, actual: Kids
44203, wrong: Society, actual: Kids
44209, wrong: Shopping, actual: Kids <- Babie.com
44244, wrong: News, actual: Kids
44250, wrong: Sports, actual: News
44302, wrong: News, actual: Regional
44316, wrong: Regional, actual: Recreation
44327, wrong: Recreation, actual: Regional
44331, wrong: Regional, actual: Recreation
44339, wrong: Arts, actual: Recreation
44340, wrong: Recreation, actual: Science
44376, wrong: Business, actual: Recreation
44401, wrong: Business, actual: Recreation
44407, wrong: Business, actual: Regional
44407, wrong: Business, actual: Recreation
44413, wrong: Health, actual: Reference
44434, wrong: Regional, actual: Reference <- yahoo maps
44441, wrong: Health, actual: Reference
44454, wrong: Health, actual: Reference
44457, wrong: Business, actual: Reference
44463, wrong: Arts, actual: Regional
44487, wrong: Computers, actual: Regional
44496, wrong: Business, actual: Regional
44499, wrong: Business, actual: Regional
44499, wrong: Business, actual: Shopping
44506, wrong: News, actual: Regional
44553, wrong: Business, actual: Science
44558, wrong: Society, actual: Science
44561, wrong: Business, actual: Science
44583, wrong: Computers, actual: Science
44591, wrong: Society, actual: Science
44598, wrong: Society, actual: Science
44632, wrong: Regional, actual: Shopping
